2014JS,解説,解答
1,5,仮想化技術を用いることにより1台の物理サーバ上に仮想的な複数のサーバを構築して、あたかも独立したサーバとして扱うことができるため、2)システム構成を柔軟に変更できる。また、クライアントのデスクトップ環境を仮想空間に構築できるため、3)クライアントのOSが異なっていても同様のサービスが提供できるとともに、クライアントに多くのアプリケーションを搭載する必要がないため、4)クライアントの障害復旧が容易である。さらに、仮想化技術を用いることにより、これまで部門ごとに設置されていた物理サーバを、1)少ない物理サーバに集約できる。しかし、5)仮想サーバ、仮想端末といえどもコンピュータウイルスに感染するリスクは存在するため、対策が必要である。
2,3,CPUはプログラムから命令を順次取得し、実行することを繰り返している(命令サイクルという)。この命令サイクルは次の4つの処理手順に分けられる。(1)取得:メインメモリからの命令の読み込み、(2)解読:命令の解読、(3)実行:有効アドレスの計算と命令の実行、(4)出力:演算結果のメインメモリヘの書き戻し(ライトバック)。したがって、CPU内部での命令の処理手順を表しているのは3)である。
3,5,5)ドットインパクトプリンタは、印字ヘッドが複数のビンで構成され、インクリボンの上からピンの圧力により印字を行う方式であり、複写式の伝票に印字することができる。1)感熱式プリンタは、熱を加えると変色する感熱紙に印字する。2)熱転写プリンタは、熱で溶解するインクリボンを使用して一般の用紙に印字する。3)レーザプリンタは、帯電した感光ドラムにレーザを当て、文字の形を残す。そこにトナー(炭素の粉)を付着させ、これを用紙に転写し、最後にトナーを熱と圧力で溶着させることにより印字する。4)インクジェットプリンタは、印字ヘッドから微小なインクの粒子を用紙に吹き付けて印字を行う。したがって、1)～4)のプリンタは複写式の伝票に印字できない。
4,4,4)Blu-rayディスクは青色半導体レーザの光を用いてデータの読み書きを行う。1)SSDや3)SDメモリカードは不揮発性の半導体メモリであり、電気を用いて読み書きする。2)ハードディスクは高速に回転する磁気デイスクに磁気を用いてデータを記録する。5)フロツピーデイスクはハードデイスクと同じように磁気を用いてデータを記録するが、ハードデイスクに比較して容量は少ない。
5,4,RAID5は、ストライビングしたデータとパリティ値を各デイスクに分散して記録する方式である。もしハードデイスクの1台が障害を起こしても、パリティが記録されているため残りのハードデイスクのデータから障害デイスクの復元が可能である。RAID5はパリティ値を保存するためハードディスク1台分の容量が必要である。したがって、有効容量が2TBのRAID5のディスクアレイを構築するには、500GB×4台に加えてパリティ用に500GB×1台が必要であるため、合計5台のハードディスクが必要になる。なお、パリティ値は特定のハードデイスクに記録されるのではなく、5台のハードディスクに分散して記録される。
6,4,4)RAIDlは同じデータを複数台のハードデイスクに記録する方式で、ミラーリングとも呼ばれる。1)ストライビングはデータを分割して複数のハードディスクに同時に記録する方式で、RAIDOの規格であり、読み書きの速度向上を目的としている。2)パリティ値はハードディスクの復旧に用いるデータで、RAID5などに利用されているが、RAIDlでは生成されない。3)RAIDlでは、データの書き込みは複数台のハードデイスクに同じデータを記録するが、読み込み時は1台のハードディスクから読み込むので、データの読み書きの速度は向上しない。5)RAIDlの最小構成に必要なハードディスクは2台である。
7,4,4)はD-sub15ピンコネクタ(アナログRGB端子)である。ディスプレイとコンピュータをアナログ接続するのに使用されている。1)はUSBコネクタ(Aタイプ)である。USBのコンピュータ側のコネクタである。2)はD―sub9ピンコネクタである。シリアルポート(RS-232)で使用されている。3)はPS/2コネクタである。キーボードやマウスを接続するのに使用されている。5)はDVI―D(DVI―Digi―tal)コネクタである。デイスプレイとコンピュータをデジタル接続するのに使用されている。
8,4,4)RAID6では、書き込み時に2種類のパリテイ値を計算し、それぞれ別のディスクに書き込む。構成するには最低4台のハードデイスクドライブが必要である。1)RAIDO(ストライピング)はデータを分割して複数(2台以上)のデイスクに分散して書き込む。2)RAIDl(ミラーリング)は同一のデータを複数(2台以上)のデイスクに書き込む。3)RAID5はストライビングしたデータとパリテイ値を各デイスクに分散して書き込む。構成するには最低3台のハードデイスクドライブが必要である。5)RAID10はRAIDlとRAIDOを組み合わせたもので、ミラーリングしたアレイをさらにストライビングするが、パリテイ値は生成しない。構成するには最低4台のハードデイスクドライブが必要である。
9,5,プログラミング言語をプログラムの実行の仕方で分類すると、コンパイラ言語、インタプリタ言語、スクリプト言語およびマクロ言語がある。スクリプト言語はスクリプトと呼ばれるプログラム(コード)を記述することで動作する簡易プログラミング言語である。機械語への変換をすることなく実行できる。5)Perlはスクリプト言語であり、他にPHP、Python、Ruby、JavaScriptなどがある。1)BASICはインタプリタ言語であるが、コンパイルして実行することもできる。2)FOR―TRANと3)Javaはコンパイラ言語である。4)LISPはインタプリタ言語である。
10,3,HTML(Hyper Text Markup Language)はWebページを記述するためのマークアップ言語である。文書の論理構造や表示方法を記述することができる。HTML文は完全な構造定義がされていない、1)半構造化文書である。2)タグを使用することにより、文書の構造や修飾についての情報を埋め込んで記述することができる。また、5)ハイパーリンクを埋め込むことにより、他の文書、画像、音声、動画などに移動することができる。作成・編集はWebページ作成ソフトを使用することもあるが、4)テキストエディタを用いても可能である。利用にあたって3)コンパイルは必要ではない。
11,5,5)ハードウェアの基本的な制御を行うために機器に組み込まれたソフトウェアをファームウェアという。1)マルウェアとは、コンピュータウイルス、スパイウェアなどの悪意のあるソフトウェアの総称である。2)シェアウェアとは、有料のオンラインソフトウェアのことである。一定の試用期間は料金を払わずに利用することができるものが多い。3)ミドルウェアとは、オペレーティングシステムとアプリケーションソフトの中間に位置し、様々なソフトウェアから共通して利用される機能を提供するものである。4)グループウェアとは、ネットワークを活用して組織内での情報共有やコミュニケーションを円滑に進めるための様々な機能を統合したソフトウェアである。
12,3,1)可逆圧縮方式は圧縮したデータから元のデータを復元するとき、情報の欠落なしに完全に復元が可能な圧縮法である。データの欠損や改変が許されない、2)テキストデータの圧縮には可逆圧縮方式を用いる。4)画像データを可逆圧縮しても解像度は変化しない。非可逆圧縮方式は、圧縮率を高くすることができるものの、圧縮したデータを復元しても完全には元に戻らず、データの劣化や歪みが残ってしまう圧縮法である。したがって、5)音データを非可逆圧縮すると再生時に歪みが生じることがある。また、非可逆圧縮方式のほうが可逆圧縮方式より圧縮率を高くすることができるので3)は誤りである。
13,5,16進数同士の計算の場合は、1桁毎に分解して計算したものを組み合わせればよい。「A0」と「5F」の足し算の場合は「A」と「5」、「0」と「F」をそれぞれ足した結果を組み合わせる。わかりやすく10進数に変換して考えると、Aは10進数で10、5はそのまま5であるので、15となり、16進数では「F」となる。同様に0は10進数でも0、Fは15なので15となり、16進数では「F」となる。各桁で求められた結果を組み合わせると、5)「FF」となる。
14,5,5)WAVはWAVEともいい、Windows標準の音声ファイルの形式であり、静止画像、動画像は取り扱えない。1)AVIはWindows標準の音声付き動画像形式で、比較的古い形式であるためストリーミング配信には不向きである。2)BMPと3)GIFは静止画像のデータファイル形式で、BMPはWindows標準のビットマップ画像形式、GIFは256色の可逆圧縮方式のビットマップ画像形式である。4)MP4はApple社のQuickTimeムービーを元に策定されたMPEG-4形式のファイルで、動画像の代表的なデータファイル形式である。
15,5,Unicodeは米国の情報関連企業が中心となって設立されたユニコードコンソーシアムが提唱し、1993年に国際標準化機構(ISO)でISOIIEC10646の一部として標準化された文字コードで、世界中の言語の文字を単一のコードで表現できる。文字コードを2バイト(16ビット)で処理し、約6万5千文字が識別できる。
16,4,論理和は、2つのビットを比較し、一方でも1ならば1を出力し、双方が0の場合のみ0を出力する。問題の2進数の論理和を計算すると、以下のようになる。次に2進数を16進数に変換するには、2進数を下位桁から4桁ごとに区切り、それぞれを16進数に変換したものを組み合わせればよい。求められた2進数の論理和「10101111」を4桁ごとに区切ると「1010」と「1111」となり、「1010」は16進数で「A」、同様に「1111」は「F」となるので、4)「AF」となる。
17,4,TCP/1P通信において、どのプログラムを利用するかはポート番号で識別する。代表的なポート番号は、HTTP(ホームページ閲覧)80番、SMTP(メール送信)25番、POP3(メール受信)110番などである。組織内などの内部ネットワークからインターネット接続を行う際、高速なアクセスや安全な通信などを確保するための中継サーバであるプロキシ(Proxy:代理)サーバを経由して利用される。内部ネットワークからプロキシサーバを利用する際には、グローバルIPアドレスのポート番号80との識別のため8080が利用される。一般的に設定はWebブラウザ内で行う。
18,3,3)NAT(Network Address Translator)は、ネットワークアドレス変換のひとつで、プライベートIPアドレスをグローバルIPアドレスに変換する技術である。インターネットはグローバルIPアドレスを使用して構築されたネットワークであるが、現在主流のIPv4では将来、アドレス番号の枯渇が心配されている。そのためルータやゲートウェイでネットヮークを仕切り、閉鎖されたネットワーク(LAN)を構築する。その中で自由に使用できるIPアドレス(プライベートIPアドレス)を利用することにより、より多くのコンピュータやネットヮーク機器の利用が可能となり、限られたグローバルIPアドレスを有効に利用することができる。1)MACアドレスを直接ホスト名に変換できるプロトコルはない。2)ネットワーク上の通信データを暗号化するためには、IPsecやSSLなどが用いられる。4)物理的な接続とは異なる仮想的なネットワークを構成するにはVLAN技術を用いる。5)同一ネットワーク内で同じプライベートIPアドレスを複数の端末に設定することはできない。
19,4,4)IPsec(Security Architecture for lnternet Protocol)は、IPパケットの単位で暗号技術を用いてデータの改ざん防止や秘匿機能を提供するプロトコルであり、ネットワーク層で実現される。IPsecを用いることによって、アプリケーション層など上位層が暗号化をサポートしていなくても通信全体としてのセキュリテイを担保し、通信路の途中で通信内容の覗き見や改ざんを防止できる。
20,5,5)SMTP(Simple Mail Transir Protocol)は、ネットワーク上で電子メールを転送するプロトコルである。手元のパソコン(クライアント)からメールサーバに向けた転送(送信)に用いるよう規定されている。1)FTP(File Transtr Protocol)は、ネットワーク上でファイルを転送する際に使われるプロトコルである。2)IMAP(Internet Message Access Probcol)と4)POP3(Post Office Protocol version 3)は、どちらもサーバに到着した電子メールを手元のパソコンなどに受信するために使われるプロトコルである。3)NTP(Network Time Protocol)は、ネットワークに接続された機器が持つ時計を時刻サーバに合わせるための通信プロトコルである。
21,3,ネットマスクは、IPv4においては32bitで表現されるアドレスのネットワーク部を規定するものであり、ネットワーク部にあたるビットまで左から1を詰め、その後はすべて0を埋める形で表現する。通常はこれを8bitずつ10進数に変換して表現する。設間のサブネットマスク255.255.252.0を2進数表現に変換すると、11111111.11111111.11111100.00000000となる。この場合、左から22bitがすべて1であり、ここまでがネットワーク部である。サブネットマスクをビット長で表現する場合もあり、このサブネットの場合は、長さ22bitであると表現する。設間のホストのIPアドレスは17230.12345なので、このアドレスを2進数表現に変換し、23bit日以降を0に置き換える(サブネットマスクとの論理積をとる)ことによって、このホストが属するネットワークアドレスを決定できる。IPアドレス17230.123.45を2進数表現に変換すると、10101100.00011110.01111011.00101101となる。このうち左から22bitをそのまま残し、その後を0に置き換えると10101100.00011110.01111000.00000000となる。これがこのアドレスのネットワーク部であり、これを8bitごとに10進数に置き換えると172.30.120.0となる。
22,2,"2)“HostUnknown''というメッセージは表現の通り「ホストがわからない」という意味であり、相手方のメールサーバがDNS(Domain Name System)上に見つからない場合に付加される。1)迷惑メールか否かは相手方サーバもしくは中継しているサーバが判断することがほとんどであり、“HostUnknown''のエラーメッセージは返ってこない。3)メールサイズ(メールの総データ量)は本文のみならずヘッダや添付書類のデータ量を合計したもので判断される。これは相手方サーバもしくは中継しているサーバが判断することがほとんどであり、“Host Unknown''のエラーメッセージは返ってこない。4)相手方サーバが存在するが、サーバ上にアドレス(ユーザアカウント)がない場合に、“UserUnknOwn''のエラーメッセージが返ってくる。5)送信先のメール保存領域に制限がある場合、相手方メールサーバが行う動作は必ずしも定まっていないが、多くの場合は“overquota""という語句を含むエラーメッセージが返ってくる。"
23,1,UTP(Unshielded Twis tPair)ケーブルは通信ケーブルの一種である。銅製の線材を2本ずつより合わせたケーブルで、電磁シールドが施されていないものを指す。UTPのうち、イーサネット用に用いられる10Base―Tや100Base―TX、1000Base―Tでは、規格上、最大伝送距離を1)100mとしている。
24,4,IEEE802.11n規格はIEEEが定めた無線通信規格である。周波数帯は2.4GHzと5GHzの片方もしくは両方を用い、最大伝送速度を600Mbpsと規定している。4)以外の選択肢にある規格の使用周波数帯と最大伝送速度は次のとおりである。
25,1,1)ルータは、ネットワーク層の情報であるパケット内の宛先IPアドレスを参照して転送経路を決定し、中継する機器である。2)L2スイッチ、および3)ブリッジは、データリンク層の情報であるパケット内のMACアドレスを参照し、宛先MACアドレスを持つ機器が接続されているポートにのみデータを中継する機器である。4)リピータは、受信した電気・光信号を増幅し、歪みを整形して再送信する機器であり、物理層での中継を行っている。5)ファイアウォールは、パケット内の送信元・宛先IPアドレス(ネットワーク層)やポート番号(トランスポート層)の情報を基に、当該パケットの通信を制御する機器である。ファイアウォールのなかには、不正パケットの破棄機能やアプリケーション・ゲートウェイ機能を有するものもある。
26,2,2)SSID(Service Set ldentiner)は、無線LANのネットワークを区別するために、アクセスポイントに設定する識別子である。1)EAP(Extensive Authentication Protocol)は、データリンク層で使用される認証プロトコルのひとつで、各種の拡張認証方式を利用する手続きをまとめたものである。3)TKIP(Temporal Key lntegrity Protocol)は、無線LANで用いられる暗号化方式のひとつである。一時的な暗号鍵を作成し、一定時間ごとに鍵を変更するといったセキュリティの強化が行われている。4)WEP(Wired Equivalent Privacy)は、初期に登場した無線LAN通信を暗号化する方式のひとつである。現在、脆弱性が指摘されているため、WEPの使用は推奨されていない。5)WPA(Wi-Fi Protected Access)は、WEPの脆弱性への対策として、Wi-Fi Allianceが策定した無線LANの暗号化方式の規格である。認証方式にはパーソナルモードとエンタープライズモードがある。
27,3,M(メガ)は106の接頭辞であり、lbyte(バイト)=8bit(ビット)であるから、設間の環境におけるデータの伝送速度は、5MB/秒=5×8×106bit/秒=40×106bit/秒である。同様に、G(ギガ)は109の接頭辞であるから、このネットワークの通信速度はlGbps(Gbit′秒)=1×109bit/秒となる。これより、回線の利用率は、4%となる。
28,3,データベースにおけるトランザクション処理機能が有すべき特性は、ACID特性と呼ばれ、原子性(Atomicity)、一貫性(Consistency)、隔離性(Isolation)、耐久性(Durability)の頭文字に由来している。3)原子性とは、トランザクション処理がすべて実施されるか、ひとつも実施されないかのどちらかとなる特性である。1)一貫性とは、トランザクションの前後・実行中でも、データの整合性が保たれ、矛盾のない状態が担保される特性である。2)隔離性とは、トランザクション実行の処理過程が外部から遮蔽され、他の処理からの影響を受けず、また他の処理への影響を与えない特性である。4)耐久性とは、いったんコミツトしたトランザクション中のデータ操作は、その後の障害でも消滅しない特性である。5)保存性はACID特性に含まれる特性ではなく、医療情報の電子保存の3基準のひとつである。
29,1,1)概念モデルは、データベースにより管理する対象となる現実の組織。物体などの関連を抽象化したモデルである。2)論理モデルは、上記の概念モデルを基に、データベースの論理的なデータ構造を記述したもので、使用するDBMS(DataBaseManage―mentSystem)が採用している論理モデルの形式により記述する。3)物理モデルは、論理モデルを基に、具体的にシステム実装するための物理的なデータ構造や定義などを記述したものである。4)関係モデルは、論理モデルのひとつで、すべての事象を「関係」(表)の集まりで表現したモデルである。関係モデルに基づいたデータベースを関係データベース(RDB:Rela―tionalDataBase)と呼ぶ。5)階層型モデルは、論理モデルのひとつで、すべての事象を本構造で表現するものである。階層型モデルは、企業の組織図などのように階層構造となるデータの表現に適している。
30,2,2)「積」は、2つの表の両方に属しているものを取り出す演算である。1)2つの表A、Bがあるとき、「差」A―Bは、Aのみに属し、Bには属さないものを取り出す演算である。3)「選択」は、表から指定した条件に合致するタプル(行)のみを取り出す演算である。4)「投影」は、表から指定した属性(列)のみを取り出す演算である。5)「直積」は、2つの表に属するタプルのすべての組み合わせを取り出す演算である。表AとBの直積の場合、表Aの属性と表Bの属性とからなるデータが[表Aのタプル数]×[表Bのタプル数]個取り出される。
31,5,"表“受診歴""は、列「受診科」に複数のデータが入力されているので、この列のデータがひとつだけになるように左の3つの列の値をコピーして新しい行を作る。次に、第1正規化(繰り返しの排除)で、固定部分と繰り返し部分を表1【○患者番号1氏名】表3【○患者番号|○受診科|○受診日】の2つの表に分ける。次の第2正規化(完全従属と部分従属の分割)では、表3について完全従属と部分従属の分割を行うが、この場合は完全従属のみなのでこのままでよい。最後の第3正規化で他に主キーとなりうる列を探すが、「受診科」については、主キーとしてより望ましい性質をもつ「科コード」を新たな列として追加した表2【○科コード1受診科】として分割すべきである。これにともない、表3についても、表3【○患者番号|○科コード|○受診日】とする。"
32,3,問題のSELECT文は、表“薬剤請求記録''に対して、WHERE旬の条件より列「日付」が2013-10-11と等しく(日付=12013-10-111)、かつ、列「病棟」が3ではない(病棟く>131)行、すなわち、最初の行(見出し)の下の4行曰と5行日について、SUM(数量)で列「数量」の合計を計算する。したがって、1+3=4で、3)が正解となる。
33,4,図は2つのトランザクションが同時に実行されている場合、それぞれが排他的利用中のデータベースを互いに更新しようとしてロック解除を待ち続けている状態、すなわち4)デッドロックを表している。1)アボートはトランザクション処理を中止すること、2)コミットはトランザクション処理が正常に完了すること、3)ロールバックはトランザクションが完遂できなかった場合にトランザクション開始前の状態に戻すこと、5)ロールフォワードは障害発生時にチェックポイント以後のコミットが完了しているトランザクションをログファイルから復旧することである。
34,2,2)フェールオーバは障害時に待機系を瞬時に切り替える方式であり、停止が許されないメインサーバやネットワークの基幹ルータなどに用いられる。1)コールドスタンバイはシステムの二重化の形態のひとつであるデュプレックスシステムで待機系が電源を切った状態で待機し、本番系が故障したときに起動を始める方式のことであり、切り替えに時間を要する。3)フォールバツクは縮退運転ともいう。障害箇所を切り離し、システムの機能や処理能力を落としてでも稼動を続けることを指す。4)ロールバックと5)ロールフォワードはデータベース障害時の復旧手段である。個別の説明は間33の解説を参照されたい。
35,1,1)完全性は情報の正確さおよび完全さを保証する特性であり、情報が正確で欠落や重複がないことを保証することである。2)真正性は、ある主体または資源が主張どおりであることを確実にする特性で、電子署名やタイムスタンプなどで改ざん、書き換えなどがないことを保証することである。3)機密性は認可されていない個人、組織に対して、情報を使用不可または非公開にする特性である。4)可用性は、認可された個人、組織が要求したときに、アクセスおよび使用が可能である特性である。5)否認防止は、ある活動または事象が起きたことを、後になって否認されないように証明する能力のことである。
36,5,認証とは、本人しか持ち得ない情報を利用して情報へのアクセス者が利用者本人であることを確認することである。5)ワンタイムパスワードは、利用者本人がパスヮードを考え出して設定するのではなく、利用者にトークンと呼ばれるパスワード発生器を持たせ、トークンがサーバと同期して発生するパスワードを利用者が入力する方式である。利用者が勝手に考え出したパスヮードを入力してもサーバには登録されていないので認証に失敗する。サーバとの同期が必要であるので、この記述は誤りである。
37,3,公開鍵暗号方式では、2)暗号化で使う鍵と復号で使う鍵が異なり(公開鍵と秘密鍵)、送信者は受信者の公開鍵で通信データ(平文)を暗号化し、受信者は自分の持つ秘密鍵で復号する。したがって、3)は誤りである。公開鍵暗号方式は、1)電子署名などに利用される。受信者ごとに別々の鍵を用意する必要がなく鍵の管理が容易になる反面、4)暗号化アルゴリズムが共通鍵方式より複雑になり、処理時間が長くなるなどの欠点がある。公開鍵暗号方式で必要な鍵の数は送信しあう人数がN人とすると2×N個、共通鍵方式ではN×(N-1)/2個であり、利用者が6人以上になると、公開鍵暗号方式の方が少なくなるので5)は正しい。
38,5,MD5はMessage Digest Algorithm 5の略であり、5)メッセージダイジェストに用いられる。メッセージダイジェストはメッセージ(通信文)をハッシュ関数により変換した値であり、ハッシュ値とも呼ばれデジタル署名に使われる。
39,2,「悪意のあるソフトウェア」の侵入経路としては、ネットワーク、USBメモリなどの外部媒体、電子メールやWeb閲覧があげられる。2)ネットワーク接続を有線から無線に切り替えても、ネットワークに接続していることには変わりがないため、侵入防止策として有効ではない。1)ウイルス対策ソフトを最新の状態に保つことで、侵入された「悪意のあるソフトウェア」が活動を始める前に駆除できる。3)一部のWebページにはプログラムが動作するものや端末にソフトのインストールを促すものがあり、多くのWebブラウザにはこのような動作をさせない設定がある。4)送信元が明らかでないメールの多くは、身元を隠して悪意を持って送信される迷惑メールである。5)ウイルス対策ソフトが動作していないコンピュータはウイルスに感染している可能性があり、もし感染しているとこのコンピュータに装着されたUSBメモリにはウイルスがコピーされる可能性があるため、装着してはならない。
40,1,1)DMZは非武装地帯(DeMilitarized Zone)の略で、信頼できる内部ネットワークと信頼できない外部ネットワークとの間で、WWWサーバなどの外部公開の必要なサーバなどを設置するために設けられる。2)IDSは侵入検知システム(Intrusion Detection System)の略で、ネットワーク上のパケットを監視し、不正アクセスを検知、警告するシステムである。3)IPSは侵入防止システム(Intrusion Protection System)の略で、不正アクセスを検知した後、自動的にネットワークを防御するものである。4)SSLはSecure Socket Layerの略で、通信データの暗号化に用いられる。5)VPNはVirtual Private Networkの略で、インターネットなどの公衆回線網上に設けた仮想専用回線である。
41,2,2)フイッシングは、電子メールやWebページに本物のWebサイトと見間違いそうなURLを記載し、偽のホームページに誘導し、IDやパスワードなどの個人情報を取得しようとする行為のことである。1)Dos攻撃(DenialofServiceattack)は、サーバやネットワークスイッチなどが正常なサービスを提供できない状態にする攻撃をいう。セキュリテイホールをつく、大量のサービス要求を送りつける、サーバなどに負荷をかけるなどが行われる。3)ポートスキャンは、本来はTCP/1P通信で用いられる情報の送受信ポートが利用可能かどうかを探索する行為をさすが、外部から不正アクセスを目的として空いているポート番号を調査するネットワーク上の攻撃を指す場合が多い。4)バッファオーバーフローは、プログラムが確保したメモリ領域(バッファ)を超えてデータが入力されるなどすることによって、バッファがあふれプログラムが予期せぬ動作をする現象をさす。これを意図的に行い、管理者権限を不正に取得するなどの攻撃をバッファオーバーフローアタックという。5)情報システムヘのアクセスパスワードや管理されている機密情報などを、サーバ上のセキュリテイホールやコンピュータウイルスなどを介することなく、不正に入手する行為をソーシャルエンジエアリングと呼ぶ。端末の近くに貼られた付箋を読む、身分を詐称する、入力中に覗き込む(ショルダーハッキング)などの手段が有名である。
42,5,ウォータフォールモデルでは、3)要求分析→2)外部設計→内部設計→5)プログラム設計→4)プログラミング→1)テストの順に開発工程が進められる。
43,5,5)プロトタイピングモデルは、開発の早い段階でプロトタイプ(試作)を作成し、その評価と調整を繰り返しながらユーザと仕様を確認し、開発を進めていく手法である。1)スパイラルモデルは、大規模なシステムをウォータフォールモデルのプロセスの繰り返しにより開発する手法である。2)リレーショナルモデルは、開発に使うプロセスモデルではなく、データ間の関係を表現するモデルであり、関係データベースで用いられる。3)インクリメンタルモデルは、サブシステム単位で並列に開発、リリースを行っていく手法である。4)ウォータフォールモデルは、設計、プログラミング、テストなどを順番に進行していく開発モデルである。
44,4,4)ガントチャートでは、横軸に時間を、縦軸に工程を配し、各工程の開始・完了の予定と実際の進捗状況とを記入するので、日程管理が容易にできるようになっている。1)最短時間の計算、3)各工程の依存関係、および5)ボトルネックの把握はネットワーク図またはPERT計算表によって行われる。2)全体費用の積算は、概算法や積算法などによって行われる。
45,1,1)運用テストでは、ユーザが参加して要求仕様で求めた機能が正しく働くかを確認する。2)結合テストでは、各モジュール間でのデータ受け渡しが内部設計通りに行われるかを確認する。3)構造テスト(ホワイトボックステスト)はプログラム機能を網羅的にテストする技法である。4)単体テストでは、モジュール単位でプログラムの機能を確認する。5)システムテストでは、外部設計通りにシステム全体が機能するかを確認する。
46,4,4)サイトライセンス契約は、サイト(利用する場所、施設)単位での契約で、そのサイト内で利用することが前提である。したがって、ソフトウェアが導入されているコンピュータを外部組織に譲渡した場合には、そのソフトウェアを利用できない。1)サーバライセンス契約は、指定したサーバに導入しソフトウェアを契約した人数分利用できる、あるいはサーバからクライアントPCへ契約ライセンス数分導入できるものであり、個人との契約ではなく、利用する組織との契約となる。2)サーバのライセンス契約では、サーバに搭載されているCPUの数、あるいはコアの数だけ契約しなければならないものがある。3)ボリュームライセンス契約は、ソフトウェアを導入するPCの台数を決めて契約するものである。5)シュリンクラップ契約は、PC用ソフトウェアで用いられる契約で、契約書を取り交わす代わりにソフトウェアの包装を破る行為によって契約が成立する。
47,1,1)基幹ネットワーク機器に障害が発生すると、ユーザが使用するクライアントPCとサーバとの通信接続が切れ、サービスが全面的に停止することになる。2)クライアントPCのハード故障では、多くの場合そのPCでのサービス利用ができないだけである。ただし、PCのネットヮークデバイスが故障すると、連続的に信号をネットワークに送り、そのPCが接続している支線ネットワークでの通信ができなくなることがある。この場合でも異常信号が基幹ネットワークヘ流れるのを防止する仕組みがあるため、サービスが全面停止することはない。3)ネットワークの一部の回線で障害が発生しても、2)の場合と同様、基幹ネットワークに影響が及ばない仕組みがあるため、サービスが全面停止することはない。4)中間サーバのソフトウェアに不具合が発生すると、その中間サーバに接続するクライアントPCでのサービス利用はできなくなるが、それ以外の影響は少ないと予想される。ただし、中間サーバが暴走してメインサーバに連続的にアクセスするようなことが起きると、メインサーバに大きな負荷がかかり、他のクライアントPCへのサービスが低下することは起こり得る。5)メインサーバの主メモリが枯渇して来ると、処理能力が低下するためクライアントPCへのサービスが低下する。しかし、サーバでのリソース管理により、主メモリを使い切ることはなく、サービスが全面停止することはない。
48,4,4)ハードウェアの故障率は、システムの信頼性評価指標のひとつである信頼性(Realiability)を評価するものである。運用性能評価指標は、システムが運用されている状況下でその処理性能を発揮できる状態にあるかを見るもので、1)CPU使用率、2)メモリ使用率、3)デイスク使用率、および5)ネットワーク回線使用率などがある。これらの値が高くなると、運用上問題が起きる可能性が高まる。
49,3,"""システムの稼働率は、平均修復時間(Mean Time To Repair または Mean Time To Recovery : MTTR)と平均故障間隔(Mean Time Between Failures : MTBF)によって、次の式で算出される。稼働率=MTBF/(MTTR+MTBF)10,000時間あたりということは、(MTTR+MTBF)=10,000時間を意味するので、MTBF=稼働率×(MTTR+MTBF)=0.995×10,000時間=9,950時間となる。よって、MTTR=10,000-9,950=50時間となる。"""
50,1,信頼性評価指標(RASIS)は、Realiabmty(信頼性)、Availability(可用性)、Serviceability(保守性)、Integrity(完全性)およびSecurity(安全性)からなる。2)機密性(Conndentiality)は情報セキュリテイの3要素のひとつである。3)見読性、4)真正性および5)保存性は、医療情報の電子保存の3基準である。
