2016II,解答,解説
1,3,医療従事者は、あらゆる医療行為について患者からインフォームドコンセントを得る必要があると考えるのが一般的である。3)自己決定の判断能力が十分でないと考えられる幼児の場合は、子供の自己決定権を代理人(保護者)が代替するので、代理人の同意が必要である。1)障害者であっても、インフォームドコンセントは必要である。2)生命の危機に瀕した緊急時の場合、事前の説明を省略し、一般的な治療を優先させてから事後の説明を行うことはやむを得ないとされる。4)インフォームドコンセントに際しては、十分、かつ正確な説明を行う必要がある。5)患者の同意は必須である。
2,1,ターミナルケアとは、3)終末期の死に至る過程を支える医療である。単に身体的な苦痛の除去だけではなく、4)心理上の苦悩を緩和するとともに2)信仰や霊的な情感、不安なども包含する支援行為であり、宗教家や家族、友人等も関わる。すなわち、5)その人らしさを全うすることを支援する。治療方針を立てるに際しては、専門的な医学的検討の上、インフォームドコンセントに基づく医療・ケアチームによる患者あるいは家族の意思の確認が重要である。最終的に、適切な結論が得られない場合は複数の専門家による委員会を設置して検討・助言を行う。ターミナルケアは居宅などでも行われるので、1)は誤りである。
3,1.5,保険医療機関及び保険医療養担当規則(以下、療養担当規則)により、療養の給付の対象となるのは傷病である。5)疲労回復のための人院は傷病による入院ではないので、保険診療の対象外である。1)健康診断は禁止されている(療養担当規則第12条、第20条)。保険給付の対象とならない疾患等としては、予防接種、予防的医療、自然分娩、美容外科及び労災保険対象などがある。2)帝王切開、3)いぼ焼灼、4)コンタクトレンズ検査は、医療行為として保険診療で認められている。
4,2,2)本人・家族の医療費の自己負担率は、小学校入学前は2割、それ以外は3割となっている。70歳から74歳は2割、75歳以上の後期高齢者は後期高齢者医療制度によって、一般には1割を、一定以上の収入がある70歳以上の場合は、3割を負担する。1)、3)、4)わが国の医療保険制度の特徴は、すべての国民を対象とする強制加入の国民皆保険制度、保険医療機関に対して保険証を提示すれば受診が認められる医療機関の自由選択、診療サービス提供の給付をする「現物給付」である。5)入院室料差額は、保険給付の対象外であり、選定療養費として認められている。
5,2,第５次医療法改正 により、５疾病 (①がん、②脳卒中、③急性心筋梗塞、④糖尿病、⑤精神疾患)５事業 (①救急医療、②災害医療、③へき地医療、④周産期医療、⑤小児医療)の目標、医療連携体制、情報提供の推進と在宅医療の確保について医療計画に記載するとともに住民に公表することとなった。よって、５疾病に含まれないのは、2)肺炎である。
6,3,DPCの主病名(診断群分類)は、入院中に3)「もっとも医療資源が投入された傷病名」と実施された診療行為の内容によって決まる。この診断群分類から、包括評価部分が算定される。
7,削除,
8,5,5)インフォームドコンセントの努力義務は、1997年の医療法改正で、医師だけではなく、医療従事者の努力義務として明記された。1)、2)、3)は医師法で定められており、4)の診療内容の守秘義務は、医師、歯科医師、薬剤師、助産師の場合は刑法で、その他の医療従事者についてはそれぞれの資格法で定められている。
9,4,4)看護師の守秘義務は、保健師助産師看護師法によって定められている。診療内容の守秘義務は、1)医師、2)薬剤師、3)歯科医師、5)助産師の場合は、古くから刑法で定められている。その他の医療従事者については、それぞれの資格法で定められている。
10,3,業務独占とは、その業務の遂行に専門的判断や技術を伴う行為が必要であり、一定の教育訓練を受け、所定の資格をもつ者だけが業として行い得ることをいう。一方、名称独占とは、法令によって一定の職種、施設等のみに特定の名称を独占させることによって、業を行う者、サービスを受ける者が混乱を起こさせないようにするためのものである。3)保健師は名称独占であるが、業務独占ではない。
11,5,5)臨床工学技士 は、 臨床工学技士基本業務指針2010によって「身体に直接針を穿刺して行う血管からの採血及び血管内への輸血等を、臨床工学技士は行ってはならない。」と規定されている。1)看護師、2)助産師、3)准看護師は、保健師助産師看護師法によって、4)臨床検査技師は、臨床検査技師等に関する法律によって、医師または歯科医師の指示を受けて採血ができるとされている。
12,5,5)臨床心理士は、公益財団法人日本臨床心理士資格認定協会が認定する民間資格である。臨床心理士固有の専門業務としては、①臨床心理査定、②臨床心理面接、③臨床心理的地域援助、④前記①～③に関する調査・研究の4つがあげられている。1)義肢装具士は義肢装具士法第2条で、2)言語聴覚士は言語聴覚士法第2条で、3)視能訓練士は視能訓練士法第2条で、4)理学療法士は理学療法士及び作業療法士法第2条で、それぞれ厚生労働大臣の免許を受けてと規定されている。
13,5,特定健康診査や特定保健指導は、健康増進法と高齢者の医療の確保に関する法律(高齢者医療確保法)に基づいて実施される。特定健康診査の対象者全員が受ける基本的な項目は、①既往歴の調査、②理学的検査(身体診察)、 ③身体計測(身長、体重、腹囲(内臓脂肪面積))、④ BMI、 ⑤ 血圧測定、⑥ 肝機能検査(AST(GOT)、 ALT(GPT)、γ-GT(γ -GTP)、 ⑦血中脂質検査(中性脂肪、HDLコレステロール、LDLコレステロール)、 ⑧血糖検査(空腹時血糖またはHbA1c)、 ⑨尿検査(尿糖、尿蛋白)である。1)血圧測定、2)脂質検査、3)腹囲測定、4)血糖検査は、いずれも基本的な検査項目である。5)心電図検査は、医師の判断により追加される詳細な健診の項目である。
14,3,3)遠隔画像診断は、放射線科医師が遠隔地の医療機関から伝送されてきた画像に対して、所見を記載し、画像診断を付して返送する診療行為であり、通常、地域医療連携部門は関与しない。1)、2)、4)、5)は、いずれも正しい。
15,2,2)医師1人当たり入院患者数は、医療評価においては、構造(Structure)を示す指標に分類される。1)患者満足度、3)2日以内のICUへの再入室、4)予定しない再手術 (48時間以内)、 5)75歳以上の入院患者における入院中の骨折率は、いずれもアウトカム(Outcome)を示す指標に分類される。
16,2,2)逆紹介率の算定式は、(逆紹介患者数÷初診患者の数)×100(%)である。したがって、分母は初診患者の数である。
17,1,1)インシデントレポートは、インシデント事例を分析し、類似するインシデントの再発や、医療事故・医療過誤の発生を未然に防止することが主な目的であり、人事評価を目的とするものではない。4)インシデントとは、あるべき姿から外れた行為や事象を指すため、インシデントレポートには、ヒヤリ、またはハッとした経験も記載される。3) 5)インシデントレポートは医療事故の発生を防止することが目的であり、インシデントを引き起こした個人を罰することを目的としておらず、通常は匿名報告である。2)インシデントレポートは事例から学ぶ学習モデルの題材となるので、教育的な効果が期待される。
18,3,3)クリニカルパスは、各疾患の入院等の一連の診療行為において、時間軸に沿って、それを構成するステップ毎に、患者への説明や看護ケア介入、投薬や検査・処置などの実施内容(タスク)と期待される成果(達成目標)を予め設定しておく標準診療計画である。1)パスを患者に提示することにより患者の全体的な治療内容の理解に寄与する。2)各ステップでアウトカム(成果)評価を行い、目標を達成していれば次のステップに進む。4)、5)達成目標と異なる場合、すなわち、バリアンス(標準からの逸脱したケア介入や時間軸の変化)が生じた場合は、当初のパスは終了して、適した別のパスなどの診療に変更する。
19,2,2)診療ガイドラインは、各種治療法や診断法などを、科学的根拠(エビデンス)に基づいて系統的に評価し、患者と医療者に最適となる意思決定を支援するための推奨を提示するものであり、医療の質の向上と標準化の推進、患者に対するエビデンスの提供などを目的としている。あくまで推奨であり、種々の事由により適合しない場合もありうる。1)、3)、4)必ずしもガイドラインに従う必要はなく、患者と医師がそれ以外の保険診療を選択しても保険が認められないことはない。5)専門医へのアンケートに基づいたものではない。
20,1,1)実質臓器とは、しっかりと中身が詰まった臓器のことで、肝臓、腎臓、膵臓、脾臓などが該当する。2)～5)結腸、心臓、膀胱、胆のうなどは、管状臓器または内臓器と呼ばれる。
21,2,2)撓骨は前腕の骨であり、下肢の骨ではない。1)脛骨、3)腓骨、4)膝蓋骨、5)大腿骨は下肢の骨である。
22,5,5)関節リウマチは、ウイルスが原因の疾患ではなく、代表的な膠原病 (炎症性自己免疫性疾患)のひとつである。1)痛風は、高尿酸血症による尿酸結晶の沈着によって起こる疾患である。2)肺炎は、肺の炎症性疾患の総称で、炎症を引き起こす原因は、細菌、ウイルス、マイコプラズマ、クラミジア、真菌、寄生虫などさまざまである。3)脳出血は、高血圧が危険因子となって起こる疾患である。4)狭心症は、冠動脈の動脈硬化による狭窄が主要因となって起こる疾患である。
23,2,一般的に静脈とは、臓器から排出された二酸化炭素を多く含む血液を心臓に戻すための血管系のことである。ただし、2)肺静脈のみ他の静脈とは異なり、肺で酸素を補給された血液(動脈血)を左心房に戻す血管となっている。
24,1,1)狭心症は、冠動脈の動脈硬化による狭窄が主要因の疾患である。2)腎不全は、腎機能が正常時の30%以下になった状態である。3)脳梗塞は、脳動脈の閉塞または狭窄により脳虚血をきたし、脳組織が酸素または栄養の不足によって壊死した状態をいう。4)急性膵炎は、膵液に含まれる消化酵素が膵臓自体を消化し、浮腫、出血、壊死などの急性炎症を呈したものである。5)肺血栓塞栓症は、肺動脈に血液の塊が詰まり、肺動脈の流れが悪くなったり、閉塞してしまう疾患である。
25,2,2)尿崩症は、脳下垂体後葉から抗利尿ホルモンが分泌されず、腎臓内で水再吸収がうまく促されなくなり生じる。1)黄疸は、肝臓障害でビリルビン濃度が上昇し、全身の皮膚や粘膜に過剰沈着して生じる。3)回転性めまいは、内耳異常で自分の周囲や景色がぐるぐる回るように誤認され生じる。4)白内障は、 目の水晶体が白濁して生じる。5)起立性低血圧は、睡眠不足やストレスなどによる自律神経異常で生じる。
26,4,4)胃内視鏡検査は、糖尿病の直接的な診療として行われない。糖尿病は、血糖降下ホルモンであるインスリンの相対的な作用不足によるものである。1)、3)、5)カロリー摂取過剰や運動不足により病態が悪化していることが多く、まずは適正な食事と運動の指導(食事療法、運動療法)を行い、必要に応じ、経口血糖降下剤やインスリン注射療法を行う。2)長期の糖尿病状態は、 眼底出血や腎臓障害、末梢神経障害、動脈硬化などを合併することがあるので、定期的に眼底検査や尿検査を行って合併症の早期発見に努める必要がある。
27,3.5,3)斜視は、外眼筋の障害などによる眼位の異常であり、屈折異常ではない。5)白内障は、水晶体そのものの透明度低下によるもので、焦点調節機能の異常ではない。なお、水晶体を眼内レンズに置換する白内障治療が行われる。屈折異常は、水晶体を含めた眼の焦点調節機能の異常であり、一般的に眼鏡・コンタクトレンズを使用して矯正できる。屈折異常には、2)近視、1)遠視、4)乱視、老眼などが含まれる。
28,2,感染症は、細菌などが体内に侵入(感染)して、宿主 (人体)側との免疫反応(炎症)により発熱などの症状を引き起こすものである。2)腎孟腎炎は、主に大腸菌による下部尿路からの逆行性細菌感染症である。炎症の原因には、感染症の他に、 自己組織に対する異常な免疫反応による自己免疫性疾患がある。3)関節リウマチ、4)慢性甲状腺炎(橋本病)、 5)全身性エリテマトーデス(SLE)はその代表的なものである。1)喘息は、アレルギー的機序が関与した疾患で、気管支の攣縮 (狭窄)に伴う呼吸困難や低酸素血症を起こす。
29,3,3)麻薬を処方する医師・歯科医師・獣医師は、事前に都道府県知事に申請し「麻薬施用者免許」(有効期限は申請の翌々年の12月31日まで)の交付を受けておく必要がある。1)劇薬、2)毒薬、4)向精神薬、5)生物由来製品は、医師免許があれば処方できる。
30,5,5)吸入剤は、液状または粉末状の薬剤をスプレー方式や専用の器材で口の中に噴霧し、同時に息を吸い込んで、気管支に直接薬剤を散布するもので、気管支喘息などで用いられる。点眼 、点鼻薬、軟膏、貼付薬、肛門から挿入する坐剤、含嗽薬、トローチなどと同様に外用薬に分類される。内服薬は、経口で服用する(口から入れて呑み込む)薬剤のことで、剤型としては、3)錠剤、1)液剤(シロップ)、4)顆粒剤、2)散剤(顆粒剤より細かな粉末状の薬)などが代表的なものである。
31,5,5)近年、薬剤の適正使用に関して薬剤師の役割が重視されつつあり、副作用防止などのために処方箋に肝機能などの臨床検査値が記載されるケースも出てきているが、これは必須ではない。1)～4)処方箋は、医師法施行規則第21条によって、「患者の氏名、年齢、薬名、分量、用法、用量、発行の年月日、使用期間及び病院若しくは診療所の名称及び所在地叉は医師の住所を記載し、記名押印又は署名しなければならない」とされている。
32,5,病院における看護業務は、直接患者のケアを行う「直接看護」と診療の補助にあたる「診療・治療補助業務」、直接患者に看護ケアを実施しない管理的な側面を持つ「間接看護 I」、「間接看護Ⅱ」、「その他」に分類されている。1)観察、3)安全の確保は「直接看護」に、4)患者の指導・相談は「間接看護 I」に、5)薬剤の投与量の調節は「診療・治療補助業務」に分類される。2)動脈注射は、静脈注射に比べて患者への危険性が高いので、看護業務には含まれない。
33,2,ある検査の特定の疾患に関する診断特性は、感度と特異度によって表現される。感度は(有)疾患群における検査陽性率、特異度は無(非)疾患群における検査陰性率である。疾患によって検査が陰性から陽性化することが想定されているため、疾患群で検査が陽性の場合を真陽性、陰性の場合を偽陰性、無疾患群で陽性を偽陽性、陰性を真陰性とよぶ。したがって、2)が正しい。
34,5,血液は、細胞成分(血球)と液体成分(血漿)からなるが、血液を試料として行う検査のうち、血球や凝固・線溶能に関する検査を血液学的検査とよぶ。5)ヘマトクリットは血液のなかでの赤血球容積の割合(%)を示す基本的な血液学的検査項目である。1)CEAは腫瘍マーカー、2)γ-GTP(γ-GT)は酵素、3)アルブミンは蛋白質、4)クレアチニンは腎機能の評価のために行われる検査で、いずれも血漿または血清中の濃度が測定されるが、血液学的検査ではない。
35,5,肝炎は、ウイルス、 自己免疫、アルコール等により肝臓の炎症を生じた病態である。5)ALT(GPT)は主に肝細胞内に存在する酵素で、肝炎により肝細胞の壊死・破壊が起こると血中に溢流し、その程度を反映して血清の活性が上昇するため、肝炎の診断には必須の検査である。1)尿酸は高尿酸血症や痛風の診断、2)CRPは各種炎症性疾患の活動性や重症度の判定、3)白血球数は細菌感染症や血液疾患の診断、4)アミラーゼは膵炎や唾液腺疾患の診断の目的で測定される。
36,2,2)中性脂肪は、脂質異常症の有無に拘わらず、健常者でも食後に血中濃度が上昇し、長時間その影響が残るため、早朝空腹時の採血が必須となっている。1)CRPや3)白血球数は食事内容だけでは変動しない。4)HbA1cは過去1月程度の期間の平均血糖値を反映して変動し、その期間の食事の影響を受け、5)ALT(GPT)はアルコールによる肝障害で上昇することがあるが、健常者では影響は小さい。
37,3,バイタルサインは、人の5)脈拍数、4)呼吸数、2)体温、1)血圧などの数値のことである。3)腹囲はバイタルサインには含まれない。なお、バイタルサインの異常値は疾患発見のために用いられるとともに、治療における疾患からの回復過程を判断する指標としても用いられる。
38,4,4)超音波検査は、極短波長の音波を利用するので放射線被ばくはない。医療における放射線被ばくは、X線、 γ線などの電離放射線の照射によって発生する。1)CT検査、および5)血管造影検査はX線を利用する。2)PET検査、および3)核医学検査(広義にはPETも含むが、一般的にPET以外のsinge photonを指す言葉として使用する場合が多い)はγ線を利用する。
39,5,5)ヨードアレルギーをMRI検査前の問診で確認することは必須ではない。MRI検査は、0.5～3T(テスラ)の高磁場と電磁波を用いる核磁気共鳴現象 (一般的には陽子のスピン緩和)を利用した画像検査で、この両者に影響される物体(磁性体)や状況(電子機器の誤作動、刺青は渦電流による火傷の危険性あり)は検査時に危険であり、検査室に持ち込み禁止、および、人体に付随する場合は検査を実施できないため、事前に問診で確認する必要がある。1)刺青、2)補聴器、3)ペースメーカー、4)カラーコンタクトは、いずれも検査前の問診で確認する必要がある。
40,削除,
41,3,保険医療機関及び保険医療養担当規則第22条において、保険医は様式第1号を記載することが義務付けられている。様式第1号は、(1)の1から(1)の3に分かれている。様式第1号の(1)の1には、受診者の氏名、4)生年月日、性別、2)住所、職業、被保険者との続柄、保険者番号、5)被保険者証および被保険者手帳の記号・番号、有効期限、被保険者氏名などの被保険者に関する情報、1)傷病名、開始、終了、転帰ならびに期間満了予定日、労務不能に関する意見、および公費負担医療の受給者番号などが記載される。3)治療方法は記載事項ではない。なお、様式第 1号の(1)の2には、既往歴、原因、主要症状、経過、処方、手術、処置等が、様式第1号の(1)の3には、診療の種別、月日、点数、負担金徴収額、食事療養算定額、標準負担額等が記載される。
42,2,2)看護計画は、患者単位に提供する看護ケアの計画を記載したもので、看護ワークシートは、看護師が行う看護業務を病棟やチームごとに、あるいは行為別にまとめたものである。1)看護の経過記録には、順を追って経過を記録 した叙述型記録と、図や記号などを用いて経過を一覧できる経過一覧表(フローシート、熱型表)とがある。叙述的な記録には、SOAP形式による記録、フォーカスチャーティングによる記録などがある。3)看護サマリーは、患者の経過を要約したもので、必要に応じて作成する。4)患者基本情報は、看護を必要とする人の、現在あるいは今後必要な看護ケアの問題を判別するための基本的情報であり、退院指導に必要不可欠である。5)熱型表 (経過一覧表、温度板)は、一定期間のバイタルサイン、水分出納、食事摂取状況等の情報を記載することができる縦と横の表分割になっている。熱型表に記載されている項目は、看護ケアで得られるものが多い。
43,3,「基本診療料の施設基準等」では、看護業務の計画に関する記録としては、看護業務の管理に関する記録と看護業務の計画に関する記録の記載が義務づけられている。看護業務の管理に関する記録は、通常、病棟(管理)日誌や看護管理日誌と呼ばれており、患者の移動、特別な問題を持つ患者の状態及び特に行われた診療等に関する概要、看護要員の勤務状況並びに勤務交代に際して申し送る必要のある事柄等を、勤務帯毎に記録したものである。1)退院患者数、2)入院患者数、4)外出・外泊患者数、5)救護区分別患者数は記載が義務づけられているが、3)紹介患者数は特に記載の必要はない。
44,2,2)保険薬局における処方箋等の保存については、保険薬局及び保険薬剤師療養担当規則第6条によって、「保険薬局は、患者に対する療養の給付に関する処方せん及び調剤録をその完結の日から3年間保存しなければならない。」とされている。なお、薬剤師法第27条によっても「薬局開設者は、当該薬局で調剤済みとなった処方せんを、調剤済みとなった日から3年間、保存しなければならない。」とされている。
45,3,症例対照研究では、ある疾病の患者集団と罹患したことのない対照集団において、原因であろう要因に曝露された者を、過去にさかのぼり調査する。この場合、両集団の総和はそれらの母集団を反映しないため、1)発症率、2)有病率、4)バイアス、5)相対危険度は得られない。3)しかし、ある事象の起こる確率を起こらない確率で割る値(オッズ)は算出可能なため、患者集団と対照集団それぞれの3)オッズの比(オッズ比)は計算される。なお、疾患が稀なものであれば、オッズ比は相対危険度の値に近似する。
46,5,5)臨床薬理試験は、治験の第I相試験として、健常者を対象に薬物動態や安全性の検討のために行われる臨床試験である。1)～ 4)はいずれも、疾病の発症要因(リスク)を探索するための疫学研究の方法である。1)横断的研究は、対象集団のある時点の疾病の有病率とリスクの保有状況を調査するものである。2)コホート研究は、要因の曝露群と非曝露群からなる集団を追跡調査し、疾病の罹患率やリスクの相対危険度を求めるものである。3)症例対照研究は、患者群と対照群の比較によりリスクのオッズ比を求める研究である。4)生態学的研究は、異なる地域の集団を比較して要因と疾病の関係を検討する研究である。
47,4.5,4)標準偏差は、平均値と各資料の値の差(偏差)を2乗し、その算術平均値の平方根をとった値であり、ばらつきの指標である。5)変動係数は、標準偏差を算術平均値で割った値であり、相対的なばらつきの指標である。1)最頻値は、度数の最も多い階級値である。2)中央値は、有限個のデータを大きさの順に並べたとき、中央に位置する値である。3)平均値は、観測値の総和を観測値の個数で割った値である。
48,5,5)クラスター分析は、特性の似たもの同士を集めて任意の数のクラスター (群)に分類する分析法である。1)判別分析は、新データが事前に与えられたグループのどれに属すかを知る分析法である。2)分散分析は、データ変動を誤差変動と各要因およびそれらの交互作用による変動に分け、要因および交互作用の効果を判定する分析法である。3)重回帰分析は、1つまたは複数の説明変数と1つの目的変数の関係を求め、説明変数から目的変数を推定する分析法である。4)主成分分析は、多くの変数に重みをつけて少数の合成変数を作る分析法である。
49,5,5)ロジスティック回帰分析は、疾患の発症など、事象の発生確率を複数の要因の有無や程度の関数として表現するモデルを用いた解析手法で、疾患発症の危険因子を探索する疫学研究でしばしば用いられる。1)F検定、4)χ2(カイ2乗)検定は検定統計量がそれぞれF分布、 χ2分布に従うような場合に用いられる検定法である。2)分散分析は3群以上の平均値の比較を行う検定法、3)順位和検定は測定値の大小関係(順位)を用いて2群の母集団分布の同一性を検定するノンパラメトリックな検定法である。
50,3,定量的な検査では、 陽性と陰性の境界値(カットオフ値)を設定することにより、定性検査と同様に感度や特異度を定義できる。一般に、カットオフ値を低めに設定することにより、疾患群の真陽性率 (感度)と3)偽陽性率 (非疾患群の陽性率)が高くなる。1)特異度( = 1 - 偽陽性率)と2)偽陰性率 ( = 1 - 感度)は低下する。4)、5)予測値は、感度、特異度、疾患頻度からベイズの定理を用いて計算できるが、カットオフ値変更の効果は一定ではない。
