2019IS,問題文,選択肢,,,,
1,次の画像検査のうち、カラー画像を利用しないのはどれか。番号を解答記入欄( 1 )にマークしなさい。,CT検査,眼底カメラ,超音波検査,内視鏡検査,マンモグラフィ
2,診療情報の二次利用に該当するのはどれか。番号を解答記入欄( 2 )に2つマークしなさい。,統計資料の作成,臨床研究、疫学研究,提供したサービスの記録,患者ケアの計画立案と実施の根拠,包括(DPC)・出来高払い保険請求の根拠
3,医療情報を登録する際にあらかじめ明示的に本人の同意を必要とするのはどれか。番号を解答記入欄( 3 )に2つマークしなさい。,MID-NET,J-DREAMS,DPCデータベース,指定難病患者データベース,介護保険総合データベース
4,地域医療連携室の業務支援システムの機能のうち、必要性がもっとも低いのはどれか。番号を解答記入欄( 4 )にマークしなさい。,紹介状管理,紹介元管理,返書作成機能,手術予約機能,宛名ラベル印刷機能
5,電子カルテに主治医が入力上ない診療情報はどれか。番号を解答記入欄(5)にマークしなさい。,退院時要約,病名オーダ,入院診療計画書,病理検査レポート,患者プロファイル
6,外来診療予約システムの機能として誤っているのはどれか。番号を解答記入欄( 6 )にマークしなさい。,各種検査予約と連携できること,外部の医療機関から予約できること,時間ごとの予約人数を設定できること,予約項 目に応じて時間枠を設定できること,同一患者が同一日時に複数予約できること
7,医事会計システムに登録されないのはどれか。番号を解答記入欄( 7 )にマークしなさい。,勤務先,マイナンバー,紹介状の有無,保険証の確認日,保険証の記号・番号
8,医事会計システムの基本システムあるいは拡張システムとして用意される機能はどれか。番号を解答記入欄( 8 )に2つマークしなさい。,空床管理,未収金管理,物品購入管理,臨床研究管理,DPC請求管理
9,医師事務作業補助者の業務として適切でないのはどれか。番号を解答記入欄( 9 )にマークしなさい。,レセプトの修正,診療録の代行入力,診断書等の文書作成の補助,医師の指示のもとでの患者移送,カンファレンスのための準備作業
10,診療情報管理部門の業務でないのはどれか。番号を解答記入欄( 10 )にマークしなさい。,がん登録,診療報酬請求業務,DPCコーディング支援,データ抽出と分析、改善,クリニカルパス作成・改定の支援
11,物品管理システムを導入している病院情報システムにおいて、食い違いが生じない組み合わせはどれか。番号を解答記入欄( 11 )に2つマークしなさい。,実施情報と払い出し物品,依頼情報と払い出し物品,依頼情報と保険請求データ,保険請求データと実施情報,払い出し物品と保険請求データ
12,がん化学療法のレジメンシステムの運用について適切でないのはどれか。番号を解答記入欄( 12 )にマークしなさい。,投与量の変更は誰でも可能とする。,投与する薬剤の点滴順を管理できる。,薬剤を投与しない休薬日を管理できる。,抗がん剤の投与量は患者ごとに自動計算できる。,レジメンマスターの登録内容を、複数人で確認する。
13,医療事故防止に直接関与する機能はどれか。番号を解答記入欄( 13 )に2つマークしなさい。,入院患者統計機能,禁忌薬チェック機能,看護師の勤怠管理機能,アレルギーチェック機能,インシデントレポートの登録機能
14,インシデントレポートシステムの導入目的でないのはどれか。番号を解答記入欄( 14 )にマークしなさい。,報告数を削減できる。,集計作業が容易となる。,報告者が報告しやすい環境ができる。,報告内容ごとに参照権限を設定できる。,事案が発生したときに情報を速やかに収集できる。
15,レポーティングシステムにおける既読管理の対象者は誰か。番号を解答記入欄( 15 )にマークしなさい。,病院長,医療情報部長,検査を指示した医師,報告書を作成した医師,検査を実施した医療従事者
16,注射薬の一本渡し運用の説明として適切なのはどれか。番号を解答記入欄( 16 )にマークしなさい。,抗がん剤の運用に適している。,期限切れの薬剤が放置されやすい。,重症系病棟での運用に適している。,薬の取り出し時の間違いが発生しやすい。,病院全体の注射薬の在庫が多くなりがちである。
17,輸血実施時に記録する必要性がもっとも低いのはどれか。 番号を解答記入欄( 17 )にマークしなさい。,血液製剤種,輸血既往歴,血液製剤番号,輸血投与時刻,輸血製剤投与により生じた副作用
18,輸液実施時に行われる3点認証において読み取らないのはどれか。番号を解答記入欄 ( 18 )に 2つマークしなさい。,患者ID,病室番号,実施者ID,調剤担当薬剤師ID,輸液対象物の識別番号
19,持参薬を取り扱う運用について誤っているのはどれか。番号を解答記入欄( 19 )に2つマークしなさい。,薬剤師が持参薬の鑑別を行う。,薬剤師が持参薬オーダを発行する。,持参薬マスターは、院内採用医薬品マスターと別に作成する。,院内採用されていない薬剤を自動的に院内採用薬に変換する。,持参薬オーダによる処方は、通常の処方オーダと同様の服薬指示ができる。
20,リハビリテーション部門システムに求められる機能として適切でないのはどれか。番号を解答記入欄( 20 )にマークしなさい。,予約枠管理,実施単位の管理,療法士の労務管理,実施計画書の管理,地域連携パスとの連携
21,PACSの機能として誤っているのはどれか。番号を解答記入欄( 21 )に2つマークしなさい。,レポートシステムと連携できる。,画像保存機能のみを有するシステムである。,PACSとモダリティの通信はDICOM規格で行われている。,よく利用される画像圧縮方法にはJPEG圧縮とWavelet圧縮がある。,PACSに画像が保存されるとPACSは医事会計システムに実施情報を送る。
22,MRI検査のチェック項目として必要でないのはどれか。番号を解答記入欄( 22 )にマークしなさい。,刺青の有無,妊娠の有無,てんかんの有無,閉所恐怖症の有無,ペースメーカーの有無
23,医用画像表示用モニタ(医用モニタ)利用および管理について誤っているのはどれか。番号を解答記入欄( 23 )にマークしなさい。　,不変性試験と受入れ試験の双方が必要である。,医用モニタ品質管理責任者は導入・維持管理 ・対応について責任を負う。,スクリーンセーバーを用いてもバックライトの寿命を延ばすことはできない。,読影を行う場合は医療機器である医用モニタを使用する必要がある。,医用モニタの品質管理に関する業務の一部は医療機関外部に委託することができる。
24,食事オーダのシステムについて正しいのはどれか。番号を解答記入欄( 24 )に2つマークしなさい。,食事を中止する場合には食止めオーダを出す。,選択食の情報を医事会計システムに転送する。,締め切り時間を過ぎた後は食事オーダはできない。,食物アレルギーに対応すると診療報酬上の加算がある。,食事オーダ時に、身長や体重、アレルギーの情報を参照できる。
25,定期的に歯科医師が訪問診療を行っているとき、誤っているのはどれか。番号を解答記入欄 ( 25 )にマークしなさい。,歯科医師は歯科衛生士への指示内容の要点を診療録に記載する。,歯科衛生士は患者に提供した文書をもとに業務記録を作成する。,歯科衛生士は患者に提供した文書の写しを歯科医師に提供する。,歯科衛生士が単独で行った保健指導の診療録への記載は不要である。,歯科衛生士の実地指導料を算定する場合は、その内容等を記載した文書を患者に渡す必要がある。
26,歯科診療での指示と指示受けは、義歯などの歯科技工装置と関連して歯科医師と歯科技工士との間で行われており、電子的な記録が求められる。誤っているのはどれか。番号を解答記入欄 ( 26 )にマークしなさい。,歯科医師は、歯科技工指示書で歯科技工士に歯科技工装置の内容を伝える。,歯科医師は、完成した歯科技工装置を患者に装着した日を診療録に記載する。,歯科技工士は、必要に応じて歯科技工装置の材料を自ら選択し、歯科医師に報告する。,歯科技工士は、歯科技工指示書によらなければ、業として歯科技工を行ってはならない。,歯科技工所の管理者は、歯科技工に関する指示書を、当該技工終了日から起算して2年間保存する。
27,看護業務支援システムの主な機能として適切でないのはどれか。番号を解答記入欄( 27 )にマークしなさい。,看護職員の月単位の勤務表を作成できる。,マスター登録された標準看護計画を立案できる。,医師が入力したオーダの実施入力を行うことができる。,ケアプランを看護オーダとしてスケジューリングできる。,医師が入力したオーダを看護ワークシートに出力できる。
28,医療情報システム調達の際に行うRFIに含まれないのはどれか。番号を解答記入欄( 28 )にマークしなさい。,稼働の実績,調達の範囲,保有製品概要,提供可能なサービス,既存システムとの接続性
29,病院情報システムの調達仕様を検討する際に考慮しなくてもよいのはどれか。番号を解答記入欄( 29 )にマークしなさい。,カスタマイズは最小限に留める。,単一障害点を全て排除する仕様とする。,ユーザーの利便性を高める機能を盛り込む。,予算の範囲内で実現可能なシステム構成とする。,プロジェクト管理と報告を行うことを盛り込む。
30,リース契約について誤っているのはどれか。番号を解答記入欄( 30 )にマークしなさい。,物件管理はリース会社が行う。,レンタル契約に比べ割安となる。,物件の所有権はリース会社にある。,契約終了後は再リースまたは返却する。,ペナルティ費用を払わなければ途中解約ができない。
31,電子カルテシステムのベンダー変更時に検討する必要がないのはどれか。番号を解答記入欄( 31 )にマークしなさい。,データ移行方法,部門システムの改修,電子レセプト提出方法,統計データの出力形式,外来検査オーダの運用
32,電子カルテ導入時の検討会議で出た意見のうち、医療情報技師が同意すべきでないのはどれか。番号を解答記入欄( 32 )にマークしなさい。,職種に応じたオーダ発行権限・参照権限機能をつけてはしい。,病名は、 自由にテキスト入力で登録できるようにしてはしい。,診療録の修正歴は、だれがいつ変更をしたか残るようにしてはしい。,研修医が抗がん剤をオーダした場合、指導医が承認するまで、オーダ発行しないようにしてほしい。,同じ患者に、同一日に同一の検体検査がオーダされていた場合、チェックする機能をつけてほしい。
33,「医療情報システムの安全管理に関するガイドライン(5.0版)」 に、個人情報等のデータを格納する情報端末のリスクとして記載されていないのはどれか。番号を解答記入欄 ( 33 )にマークしなさい。,情報端末の持ち出し,画面キャプチャー機能,情報端末の紛失、盗難,不正なソフトウェアによる改ざん、き損,ソフトウェアの不適切な取り扱いによる情報漏えい
34,電子カルテを導入している病院において、紹介状等をスキャナ等により電子保存する運用のうち、「医療情報システムの安全管理に関するガイドライン(5.0版)」に抵触するのはどれか。番号を解答記入欄( 34 )にマークしなさい。,受領したその場でスキャンする,受領した紙媒体は必ずスキャンする。,スキャンを行った紙媒体を別途保管する。,システム導入前に受領した紹介状はスキャンしない。,紹介状に添付された放射線フィルムを100dpiでスキャンする。
35,医療記録の電子保存について誤っている組み合わせはどれか。番号を解答記入欄( 35 )にマークしなさい。,保存性 ― 情報の所在管理,真正性 ― 改変履歴の保存,見読性 ― システム障害対策,真正性 ― 確定者の識別および認証,保存性 ― 情報の滅失、破壊の防止策
36,真正性の確保について正しいのはどれか。番号を解答記入欄( 36 )に2つマークしなさい。,一旦確定した診療録等を更新した場合、更新後の記録のみを保存する。,代行入力が行われた場合、入力者が複数であれば代表者のIDでログインし入力を行う。,運用管理規程を明確にすることで、入力してから一定時間経過後に記録を自動確定することができる。,外部機器システムからの情報登録が行われる場合、どの時点で確定となるかを運用管理規程に明示する必要がある。,代行入力が行われた場合、どの患者の入力が誰によっていつ行われたかが、月に1度は記録される必要がある。
37,電子カルテシステムにおける見読性確保のための機能はどれか。番号を解答記入欄( 37 )にマークしなさい。,診療録の変更・削除等について、操作ログが残るようにした。,障害時に診療録を参照できるように参照用サーバーを導入した。,電子カルテシステムの利用者認証に指紋認証システムを搭載した。,診療録が正確な時間時刻で記録されるようにタイムサーバーを導入した。,電子カルテシステムの機能ごとに、更新・参照などの操作制限が可能な機能を導入した。
38,「医療情報システムの安全管理に関するガイドライン(5.0版)」に、医療機関等の管理者の「通常運用における責任」として定められているのはどれか。番号を解答記入欄( 38 )に2つマークしなさい。,説明責任,管理責任,賠償責任,公開責任,瑕疵担保責任
39,医療情報システムの安全管理について適切でないのはどれか。番号を解答記入欄( 39 )にマークしなさい。,利用者の識別と認証を行う機能を持つ。,利用者グループごとに利用権限を規定する。,不正ソフトウェアの侵入に対して保護対策を行う。,全てのアクセスの記録 (アクセスログ)を収集する。,個人所有の情報端末のシステムヘの接続を許可する。
40,HPKIによる電子証明書について誤っているのはどれか。 番号を解答記入欄( 40 )にマークしなさい。,病院長であることを証明できる。,本人認証に用いることができる。,電子処方箋の運用に必要とされている。,病院に勤務する医事課職員であることを証明できる。,記名押印にかわる電子署名として用いることができる。
41,病院における災害に対する備えとして適切でないのはどれか。番号を解答記入欄( 41 )にマークしなさい。,発災後の対応について日ごろから教育・訓練を行う。,医師個人に担当患者のバックアップデータを管理させる。,維持すべき業務内容の優先順位を検討し、計画を立てておく。,業務継続の計画を策定して、状況に応じて適宜見直していく。,システム障害・停止状態からの復旧手順のマニュアルを用意する。
42,災害発生時の診療に利用するためにバックアップする診療情報として優先度が低いのはどれか。番号を解答記入欄( 42 )にマークしなさい。,処方歴,既往歴,検査結果,再診予約日時,アレルギー情報
43,システム運用管理規程について誤っているのはどれか。番号を解答記入欄( 43 )に2つマークしなさい。,病院の最高意思決定機関で承認を得る。,遵守事項に違反した場合の罰則を定める。,実装する技術の内容を具体的に記載する。,システム管理部門は利用者でないので適用対象外とする。,医療情報システムの安全管理に関するガイドラインに準拠する。
44,ユーザーが退職した時の対応として正しいのはどれか。番号を解答記入欄( 44 )にマークしなさい。,アカウントを速やかに削除する。,ユーザー名を速やかに変更する。,ユーザー IDを速やかに変更する。,ログイン権限を速やかに停止する。,残務処理のため数日間は変更を行わない。
45,人院病棟にある無線方式の生体情報モニタからのデータが途切れるようになった。原因として可能性がもっとも低いのはどれか。番号を解答記入欄( 45 )にマークしなさい。,電子レンジを設置した。,ナースコールの機器を増設した。,蛍光灯からLED電球に切り替えた。,電子カルテ用UPSのバッテリを交換した。,電子カルテ用の無線 LANのアクセスポイントを増設した。
46,病院情報システムに障害が発生した際、情報システム管理部門が実施すべきでないのはどれか。番号を解答記入欄( 46 )にマークしなさい。,障害の再発防止策を検討して実施する。,現場ヒアリングを行い、障害範囲を把握する。,原因が判明するまでシステムを全面的に停止する。,過去に同様の障害がなかったかを確認して対応策を調査する。,業務への影響範囲を見極めて関連部署と代替運用を協議する。
47,病院情報システムのトラブルのうち、「運用障害」にあてはまるのはどれか。番号を解答記入欄( 47 )に2つマークしなさい。,複数のマスターの不整合,ソフトウェアのバグによるデータ破壊,ネットワーク障害による性能トラブル,病院職員の操作ミスによるデータ破壊,ハードウェア故障によるシステムの停止
48,医療施設内の医療情報システム保守業者によるメンテナンス作業において、情報部門担当者が行った対応のうち、不適切なのはどれか。番号を解答記入欄( 48 )にマークしなさい。,作業後に、作業対象システム単独の動作検証を行い、正常動作を確認した。,作業後に、事前に医療施設側が許可していない施設内データの持出しがないことを確認した。,作業前に、病院ネットワークヘ接続するメンテナンス用機器(PC等)のウイルス対策状況を確認した。,作業後に、保守業者に作業報告書(メンテナンス作業の結果を記載したドキュメント)を提出させ、作業結果を確認した。,作業前に、保守業者から作業計画書(メンテナンス作業の内容を記載したドキュメント)を提出させ、作業内容を確認した。
49,システム改修時の対応として誤っているのはどれか。番号を解答記入欄( 49 )に2つマークしなさい。,院内の要望には全て対応する。,システム入替時はベンダーにまかせる。,リリース時には現場の責任者にも確認してもらう。,ベンダー作成のテスト仕様書兼結果報告書を確認する。,要望について対応する場合は、ルールに則って承認をとる。
50,障害発生直後にシステム管理部門が行う対応として適切でないのはどれか。番号を解答記入欄( 50 )に2つマークしなさい。,サーバーの再起動を行う。,業務への影響を判断する。,障害による影響範囲を調査する。,障害時専用の帳票対応に切り替える。,障害の影響が予想される部署へ連絡する。
51,電子カルテ端末の反応が遅くなった原因がネットワークに関連する事象であることを確認するのに適切なのはどれか。番号を解答記入欄( 51 )に2つマークしなさい。,PCを予備機に交換する。,ハードディスクの最適化を行う。,ネットワークの経路を変更する。,PCのメモリの使用量を確認する。,電子カルテ以外のアプリケーションの動作を確認する。
52,病院情報システム監査の目的として誤っているのはどれか。番号を解答記入欄( 52 )にマークしなさい。,システムの改善をしやすくする。,病院の外部からの評価を上げる。,利用されていないシステムを見つける。,病院情報システムの質の向上につなげる。,導入されたシステムの維持管理を容易にする。
53,GS1-128について誤っているのはどれか。番号を解答記入欄( 53 )にマークしなさい。,商品番号が含まれる。,有効期限が含まれる。,ロット番号が含まれる。,元梱包装単位に表示される。,医療用医薬品のみに利用されている。
54,各種コードとその対象の組み合わせで誤っているのはどれか。番号を解答記入欄( 54 )にマークしなさい。,HOT ― 医薬品,ICNP ― 医用材料,ICD-10 ― 国際疾病分類,JLAC10 ― 臨床検査,NANDA― 看護診断
55,HOTコードについて誤っているのはどれか。番号を解答記入欄( 55 )にマークしなさい。,医療用医薬品につけられた13桁のコードである。,JANコードとは原則として1対1対応している。,使用中止されたコードは再利用されることがある。,レセプト電算処理システム用コードと対応付けられている。,コード管理は一般財団法人医療情報システム開発センター (MEDIS-DC)が行っている。
56,JLAC10について誤っているのはどれか。番号を解答記入欄( 56 )にマークしなさい。,同じ検査項目でも材料によリコードが異なる。,同じ検査項目でも測定法によリコードが異なる。,レセプトに記載される検査項目のコードである。,一般社団法人日本臨床検査医学会が作成している。,分析物コードなど5つの要素区分から構成される。
57,SS-MIX2について誤っているのはどれか。番号を解答記入欄( 57 )にマークしなさい。,各種文書や画像情報は拡張ストレージに格納される。,ファイルシステムのディレクトリ構造を利用している。,処方、検体検査結果は、標準化ストレージに格納される。,フリーソフトのデータベースエンジンが前提となっている。,患者ID、日付、種別の階層構造は標準化ストレージと拡張ストレージで同じである。
58,「患者紹介等に付随する医用画像についての合意事項」に含まれないのはどれか。番号を解答記入欄( 58 )にマークしなさい。,1枚のCD-Rに書き込む患者は1名 - 1IDとすること,医療施設間で受け渡しするDICOMファイルは、DICOM規格に違反しないこと,事前協議に基づき双方がその内容について承知している場合は、本合意事項の対象としないこと,自動的にCD-Rに同梱されているViewerアプリケーションを使って画像を表示させること,患者氏名、提供元医療施設名および問い合わせ先などをCD-R表面にレーベル印刷として記載すること
59,次世代医療基盤法で定めている認定匿名加工医療情報作成事業者について誤っているのはどれか。番号を解答記入欄( 59 )にマークしなさい。,従事者に罰則付きの守秘義務を課す。,医療情報等の漏えい等の防止のための安全管理措置を講ずる。,医療情報の取扱いを事業の目的達成に必要な範囲に制限する。,医療情報等の取扱いを委託されるには、主務大臣の認定を受ける必要がある。,医療機関等から医療情報の提供を受けるには、あらかじめ患者の明示的な同意が必要である。
60,厚生労働省の通知「人工知能 (AI)を用いた診断、治療等の支援を行うプログラムの利用と医師法第17条の規定との関係について」(2018年12月)によると、人工知能が組み込まれた医療機器を使用して診断治療した時、最終的に責任を負うのは誰か。番号を解答記入欄( 60 )にマークしなさい。,開発者,認可者,販売者,使用した医師,利用を同意した患者
