2019IS,解答,解説
1,5,5)マ ンモ グラフイは乳がんの診断に使われ、病変部 を影 として捉 えるため、 カラー画像 を利用 しない。1)CT検査 は組織や造影剤の流れに着色 して精密 な診断 を行 う。2)眼 底 カメラは色調 で血管や病変の評価 を行 う。3)超 音 波検査 は血流や組織 の弾性 な どをカラーで表示す る。4)内視鏡検査 は表面の色彩の相違や染色 による色彩変化で病変部位 を同定する。
2,1.2,1)統計資料の作成および 2)臨 床研究、疫学研究は直接患者 には還元 されないので二次利用に該当す る。患者の診療 で 3)提供 したサー ビスの記録 は医療行為の公 的書類作成 のため に、4)患 者 ケアの計画立案 と実施の根拠 は計画 したケア内容を患 者や医療 専 門職 間で共有す るため に、5)包括 (DPC)・ 出来高払い保険請求の根拠 は患者に実施 した診療内容に基づいて作成・請求するために利用 され、 これ らは一次利用 に該当する。
3,2.4,2)J― DREAMSは 匿名化・暗号化 され糖尿病患者の同意 を得 て登録 され る。4)指 定難病患者データベースは利用 目的を明示 し本人の同意を得 る必要がある。1)MID― NETは個人 を識別 で きない よう処理 されてお りあ らか じめ本人の同意 を得 る必要はない。3)DPCデー タベースは医療機関か ら本人を特定 しうる情報を匿名加工 されたデー タとして受け取 るため本人の同意 を得 る必要 はない。5)介護保 険総合デー タベ ース は提 出前 に個人を特定で きる情報を匿名化 した介護 レセプトデー タな どを収集 した もので本人の同意 を得る必要はない。
4,4,患者の最終的な治療方針や日程は、紹介先で診療を受けた後に決まるものであり、手術が必要となればその診療科で予約が行われる。したがって、地域医療連携室における4)手術予約機能の必要性は低い。地域医療 連携室では、病病・病 診連携をスムーズに行うため、1)紹介状管理、2)紹介元管理、3)返書作成機能、5)返書送付等のための宛名ラベル印刷機能は業務に必要である。
5,4,4)一 般的に、病理検査は検査技師などが行い、病理診断については病理医が行う。その結果が主治医に報告され、診療に用いられる。1)退 院時要約、3)入院診療計画書は主治医が作成する。2)病名は主治医が決定し、入力する。5)患者プロファイルは「現在の病状の要約」「現在の健康状態に繋がる背景の要約」とされており、主治医が入力する情報も多い。
6,2または5,2)外来診療予約機能はシステムの機能として実装されていても、地域医療連携室などを通さずにオンラインで診療予約ができることは運用上の課題があって利用されていないことが多い。5)一 般 的には外来診療予約を複数診療科で「同一日時」にはとらない。ただし、外来診療で1時間とか午前中、といった広い時間帯で予約を取る病院もある。この場合は、同一日時に複数予約を入れる必要がある。上記により、2)、 5)の双方を正解とした。1)、 3)、 4)はいずれも必要な機能である。
7,2,2)マイナンバーは社会保障、税務、災害対策に関する手続きのために行政機関や金融機関、勤務先などに提供するもので、医療機関では収集・保管せず医事会計システムにも登録されない。1)連絡先として勤務先が登録されることが多い。3)～ 5)は医事会計業務に必要な情報である。
8,2.5,患者への医療費請求を行ううえで未払い情報を管理する2)未 収金管理が必要 となる。DPC対象病院ではDPC別 包括評価方式に基づいた5)DPC請 求管理機能が必要である。1)空床管理機能は病床を適切に利用できるよう看護管理支援 システムに含 まれる。3)物品購入管理機能は診療に使用する薬品や医療材料の適正数を保持するよう物流管理システムに含 まれる。4)臨 床研究管理機能は、臨床研究管理センターなどで治験管理と合わせてシステム化されることが多い。
9,1または4,「医師事務作業補助体制加算」の要件として、診療報酬の請求事務、看護業務の補助は、医師事務作業補助者の業務としないとされている。1)は診療報酬請求事務の一部である。4)患者の移送は看護業務の補助にあたる。したがって、1)、 4)の双方を正解とした。2)、 3)、 5)はいずれも医師事務作業補助者の業務である。[参考 :要件全体]医師事務作業補助者の業務は、医師(歯科医師を含む)の指示の下に、診断書などの文書作成補助、診療記録への代行入力、医療の質の向上に資する事務作業(診 療に関するデータ整理、院内がん登録などの統計・調査、医師などの教育や研修・カンファレンスのための準備作業など)ならびに行政上の業務(救急医療情報システムヘの入力、感染症サーベイランス事業に係る入力など)への対応に限定するものであること。なお、医師以外の職種の指示の下に行う業務、診療報酬の請求事務(DPCのコーディングに係る業務を含む)、 窓口・受付業務、医療機関の経営、運営のためのデータ収集業務、看護業務の補助ならびに物品運搬業務などについては医師事務作業補助者の業務としないこと。
10,2,診療情報管理部門は診療記録を適切に管理し活用を図ることにより、医療の評価と質の向上、診療記録の開示、病院経営管理、教育研究に寄与する。診療情報を元に1)がん登録を実施し、DPC対象病 院では3)DPCコーディング支援を行う。診療情報管理士が二次利用に耐えうる質と精度を確保するようチェックして4)データ抽出とその分析、それに基づく改善が行われる。5)クリニカルパス作成・改定の支援は医療の評価と質の向上に貢献する。
11,2.4,物品(物流)管 理システムは、病院内で消費される医療用物品(薬剤、医療材料)およびその他消耗品の在庫管理、施設内部署への払出し管理、業者への発注・購入管理を目的としたシステムである。物品の在庫は診療現場へ定数配置されるもの、院内の物流倉庫等で集中管理されるものがある。医療用物品は医師の処方や処置等のオーダ(依頼情報)によりその使用 (消費)が指示されるため、物品管理システムはオーダエントリシステムとの連動が必要である。よって、依頼情報により払い出し物品が定まるため、2)で食い違いは生じない。ただ、払い出された物品はそのまま消費されるとは限らず、実施者により依頼情報は修正・変更のうえ実施される場合があるため、1)は食い違いが生じうる。さらに保険請求は実施情報により行われる必要があるため4)の食い違いは生じないが、3)は生じうる。1)、 4)で食い違いが生じうるため5)も食い違いは生じうる。
12,1,レジメン(regimen:順序立てて計 画・管理されるシステムを意味する)は、がん化学療法おける用量・用法を時系列に明示した治療計画である。医療安全の確保、がん薬物療法の標準化、業務の効率化を目的として施設内にレジメン委員会などの審査組織を整備して作成・管理される。レジメンシステムはレジメンの承認・登録 。実施運用をサポートするシステムである。よって、抗がん剤などの投与量はレジメンに従いがん化学療法に精通した医師により決定される必要があり、1)投与量の変更は誰でも可能とする運用はレジメンの目的を損なうため適切でない。
13,2.4,2)禁忌薬チェック機能は、疾病禁忌(疾 病に対する使用禁忌の薬剤投与)や併用禁忌(副作用、作用の増強・減弱などの相互作用を引き起こす組み合わせの複数薬剤の投与)に関する病名および医薬品情報をオーダエントリシステムにマスター登録し、処方オーダ入力時にチェックしてエラーやアラートを発することで禁忌薬の投与を防ぐことを目的とする機能であり、医療事故防止に直接関与する。同様に、4)アレルギーチェック機能も、患者の薬剤・食物・造影剤などのアレルギー歴情報を登録し、処方・注射・給食 ・造影CTオーダ時にチェックすることで、アナフイラキシーシヨックなどの医療事故発生の低減を目的とする機能である。1)、 3)、 5)はいずれも直接には関与しない。
14,1,インシデントレポートシステムは、医療安全に関するリスクマネージメントの一環として、施設内で発生した医療事故(アクシデント)のみならず、軽微なヒヤリハット事案(インシデント)であっても網羅的に、事案発生後速やかに報告(収集)し、効率的に集計・分析することで、医療安全の向上を日的とするシステムである。よって、1)報告数を削減できることは医療安全の向上の目的に合致せず、インシデントレポートシステムの導入目的でない。
15,3,レポーティングシステムは、患者の主治医が検査を依頼し、専門医が検査結果を分析し診断した結果をレポートにまとめ、レポートを主治医に提示する業務運用をサポートする情報システムの機能を指す。放射線画像検査の画像診断レポート、病理検査の病理診断レポートなどの作成を支援するシステムが該当する。レポーティングシステムにおいて管理されるレポートは、3)検査を指示した医師により読まれるべきものである。既読管理の機能は、患者に対する診断・治療等の意思決定に必要となるレポートが主治医によって確実に既読となったことを管理するものである。
16,1,1)レジメンに従いオーダされた抗がん剤の払い出しは、薬剤師による処方監査・調剤監査を経てその都度払い出される「一本渡し運用」が適している。2)在庫管理が部署ごとに行われる「定数配置運用」の方が、期限切れ薬剤の放置が発生しやすい。3)患者の状態変化が激しく、注射オーダの変更・中止が頻繁に発生する重症系病棟では「定数配置運用」のほうが利便性は高い。4)、5)部署ごとに一定数の薬剤の在庫を置く「定数配置運用」では、薬剤の取り出しに薬剤師の介入がなく「一本渡し運用」に比べ誤りが発生しやすい環境であり、病院全体の薬剤在庫も多くなる傾向を示す。
17,2,輸血用血液を含む血液製剤は特定生物 由来製品であり、その使用記録と患者の輸血歴を20年間保存することが義務づけられている。よって、輸血実施時に、輸血オーダおよび輸血部門システムの実施情報として記録が必要な情報には、1)血液製剤種、3)血液製剤番号、4)輸血投与時刻などがある。5)輸血実施時に生じた副作用についても、その都度記録が必要である。患者の2)輸 血既往歴は輸血部門システムなどに記録し、副作用管理や取り違えミス防止など医療安全の確保に利用する必要があるが、輸血実施より前に記録されているべきである。
18,2.4,輸液実施時の3点認証において、3)実施者ID、 1)患者 IDと5)輸液のバーコードを読み取ることにより、誰がいつ投与したのかの実施記録が残り、誤った患者へ投与しようとした場合に警告を発することができる。また、輸液ラベル発行後に指示変更があった場合に検知できる。2)病室番号は、入院の都度異なり入院中に変わることもあるので個人識別に用いることはできない。また、外来患者には付与されないデータのため、一般的には使用しない。4)調剤担当薬剤師IDを輸液調剤時に読み取る施設もあるが、輸液実施時には薬剤師は関与しないので読み取る対象ではない。
19,2.4,2)「持参薬オーダ」は治療指示となるため、医師の権限が必要である。4)院内に採用されていない薬剤を他の薬剤に変更する場合は、特に注意が必要である。患者の状態や治療方針に基づき、持参薬と他の薬剤との関連など、薬剤師からの情報も参考にしながら医師が判断して処方する必要がある。支援機能として院内採用薬候補を表示する機能は必要であるが、 自動的に変換することは規格などの問題があり医療事故のリスクがあるため、行ってはならない。1)、 3)、 5)は持参薬の取り扱い上適切である。
20,3,3)療法士の労務管理は、単なるスケジュール管理だけではなく、労働時間の管理や休暇の付与なども含まれ、人事管理の一環である。1)、 2)、 4)、 5)はいずれも必要な機能である。「地域連携パス」を用いた診療では、予約、実施の段階でリハビリテーションも含めたパスに沿ったスケジュール管理などが必要となる。
21,2.5,2)PACSは、モダリテイ(画像撮影装置)で得られた画像データを、ネットワークなどを通じて受信して保管管理するとともに、電子カルテやレポートシステムと連携するシステムであり、単に画像を保存するだけのシステムではない。5)実際に撮影が行われた(検査が行われた)時点で検査機器からRISに検査終了通知が送付され、これによりRISは会計情報をHISに送付する。したがって、PACSは関与しない。1)は必要な機能であり、3)、 4)は標準的に用いられている。
22,3,3)てんかんは磁場による影響はなく、MRI検査時のチェックは必要ない。1)刺青には金属成分があり、導電流(渦電流)を生じることで火傷を負う危険性がある。2)妊婦の場合はSAR(specinc absorption rate)の増加による胎児の発達遅延など発育への影響に配慮する。4)MRI検査では閉所に入るため閉所恐怖症への配慮が必要である。5)ペースメーカーについても高磁場と電磁波による発熱や誤作動の危険がある。最近では影響のないMRI対応型のペースメーカーもあるものの確認が必要である。
23,4,4)医用モニタを使用することは望ましいが、医療機関と読影医との間での協議により決めることでよいとされている。1)、 2)は正しい。3)昔のCRTモニタでは蛍光体の寿命を延ばすことができるが、液晶モニタでは画面は暗くなるが、液晶の奥に配置のバックライトは発光したままであり、寿命を延ばすものではない。5)医用モニタの品質管理に関する業務の一部は、医療機関外部に委託することができる。参考「医用画像表示用モニタの品質管理に関するガイドライン」httpsi//www.jira_net.or.jp/publishing/files/iesra/JESRA_X―0093]3_2017.pdf
24,1.5,1)、 5)は運用上および医療安全の観点から必要な機能である。2)選択食は特別食加算の対象でないため、医事会計システムに情報を転 送する必要はない。3)締め切り時間を過ぎた後でも、緊急入院や患者の状態変化に伴い食事内容を入力・変更しなければならない場合があるため、食事オーダができるようにする必要がある。併せて変更された情報を正しく伝達できる運用やシステムを検討しておく必要がある。4)食 事アレルギーヘの対応は診療報酬上の加算対象ではないが、すべての患者に必ず行わなければならない。
25,4,歯科衛生士は歯科医師の指導の下に歯科衛生士の業をなすこと、と歯科衛生士法第 2条に定め られている。歯科医師は歯科衛生士へ保健指導の内容 を指示 し、それ を診療録 に記載する。指示 を受けた歯科衛生士 は患者 に歯科保健指導を実施 し、内容 を記載 した文書 を患者 に渡す。この文書の写 しを歯科医師に提供 し、業務記録を作成 して一連の業務が完了する。歯科衛生士が単独 で訪問 した場合 もこの手順が必要で、4)が誤 りである。1)～ 3)、 5)は 正 しい。
26,3,歯科技工士法第 2条に、「特定人に対する歯科医療の用に供する補てつ物、充てん物又は矯正装置を作成し、修理し、又は加工すること」と歯科技工の定義がある。歯科技工を行う場所が病院または診療所内にある場合を除き、歯科医師は技工指示書で装置内容を歯科技工士に伝達する。歯科技工士は指示に従って作成し、指示書は2年間の保存義務がある。この際、技工士の判断で装置の材料を選択してはならず、3)は誤りである。1)、 4)、 5)は正しい。診療録には装置完成日ではなく装着日を記載するため、2)は正しい。
27,1,1)看護職員の月単位の勤務表作成は、看護管理支援システムの機能である。看護業務支援システムには、看護職が提供する業務『診療の補助(オーダの実施入力、実施すべきオーダを確認できるなど)』 (3)、 5)など)と『療養上の世話 (患者の身体的ケア、介助など)』 (2)、 4)など)を交代勤務の中で遂行していくためのタスクが管理できる機能や、看護師の観点から患者ケアの計画・実施の進捗管理ができる機能が必要である。
28,2,RFI(Request For lnおrmation)は病院外の情報を把握するために行うものである。したがって、RFIはベンダーに対して、提供してほしい情報を文書としてまとめたものになる。2)調達の範囲は、病院が決定するため、RFIには含まれない。1)、 3)～ 5)はRFIに含まれる。
29,2,単一障害点とは、システムを構成する要素のうち、1つが停止するとシステム全体が停止する部分のことである。単一障害点をすべて排除しようとすると、多岐にわたる冗長化による価格の高騰、必要なシステムが存在しないなどの問題が発生する。したがって、すべて排除することは現実的ではなく、2)は考慮しなくてよい。1)、 3)～5)はいずれも調達仕様を検討する際に考慮すべきである。
30,1,リースとは、リース会社が物件の利用を希望するユーザーの代行として、その物件を購入し、ユーザーとの間にリース契約を締結することである。物件の所有権はリース会社側にあるが、物件の管理についてはユーザー側が行うため1)は誤りである。2)～5)はいずれもリース契約の特徴を示しており、正しい。
31,3,電子レセプトは、医科点数表、DPC点数表、歯科点数表、調剤点数表ごとに、「電子レセプト作成の手引き」を元に、標準仕様および記録条件仕様に従って、レセプト電算マスターコードを使用して作成する。したがって、ベンダーを変更する場合においても、既存の仕様があるため、3)電子レセプト提出方法を検討する必要がない。1)、 2)、 4)、 5)は、いずれもベンダー変更時に検討が必要である。
32,2,病名は、各種統計、病院機能評価、臨床研究などに後利用 (二次利用)される。したがって、標準的な傷病名マスターを利用し、後に利活用できるよう構築する必要がある。一方、レセプト電算請求を行う際には、レセ電算コードが必要である。よって2)に同意すべきでない。現在、レセ電算コード、ICD-10コードに対応しているICD-10対応標準病名マスターがMEDIS―DCから提供されている。1)、 3)～ 5)はいずれも電子カルテに必要な機能として同意してよい。
33,2,当該ガイドラインの6.2.3リスク分析、③個人情報等のデータを格納したノートパソコンなどの情報端末において、a情報端末の持ち出し、bネットワーク接続によるコンピュータウイルスなどの不正なソフトウェアによるアクセス、改ざん、き損、滅失、漏えい、cソフトウェア(Winnyなどのファイル交換ソフトなど)の不適切な取扱いによる情報漏えい、d情報端末の盗難、紛失、e情報端末の不適切な破棄があげられている。この中で2)画 面キヤプチャー機能によるリスクは記載されていない。
34,5,当該ガイドラインにおいて、『医療に関する業務等に支障が生じることのないよう、スキャンによる情報量の低下を防ぎ、保存義務を満たす情報として必要な情報量を確保するため、光学解像度、センサ等の一定の規格・基準を満たすスキャナを用いること。』としている。放射線フィルムなどの高精細な情報に関しては、「デジタル画像の取り扱いに関するガイドライン3.0版」に示されているフィルムデジタイズ装置を電子保存に用いる場合の説明を参考にするように明記されており、一律に100 dpiでスキャニングすることはできない。1)～ 4)はいずれもガイドラインに準拠した対応である。
35,1,保存性とは、法律で定められた保存義務期間を通じて、復元可能な状態で情報を保存できる措置を講じていることであり、1)は誤りで、5)は正しい。1)情報の所在管理は見読性として求められる。真正性とは、改変又は消去の事実の有無およびその内容を確認でき、かつ、記録作成の責任所在を明らかすることであり、2)、 4)は正しい。見読性とは、電子計算機その他の機器に表示しおよび書面を作成できることであり、3)も正しい。
36,3.4,"3)、 4)は「医療情報システムの安全管理に関するガイドライン第 5.0版」7 電子保存の要求事項のうち真正性の確保についての記載を参照のこと。1)真正性の確保のために、削除、訂正を含めた情報の履歴を明らかにする必要があるので誤り。2)代行入力であっても、個人を特定する必要があるので,誤り。5)代行入力の確定までの時間はできるだけ短いことが好ましく、適切に管理するためには、遅滞なく記録されていることが必要である。"
37,2,2)必要に応じて電磁 的記録に記録された事項を出力するためで見読性確保にあたる。1)操作ログを残すこと、3)利用者認証の精度向上をはかること、4)タイムサーバーで記録時刻の正しさを担保すること、5)システムの機能ごとに職種による操作制限を加えることは、いずれも真正性確保が主 目的である。
38,1.2,管理者が医療情報保護の体制を構築し管理する局面における責任についての問題である。1)説明責任は、システムの機能や運用方法が、電子保存の基準を満たしていることを患者などに説明する責任のことで、正しい。2)管 理責任は、システムの運用管理を行う責任にあたり、正しい。3)賠償責任は、システム等に不都合な事態(典型的には情報漏えい)が生じた場合に対処すべき事後責任にあたり、誤り、4)公開責任は、ガイドライン第5版に記載がなく、誤り、5)瑕疵担保責任は、ベンダー側の責任にあたり、誤りである。
39,5,5)OSの設定やアプリケーションの管 理、ネットワークの管理などを管理者のもとで行えない限り、BYODは行えない。1)安全管理上の基本機能であり、適切、2)職種による利用制限ができるので、適切、3)情報セキュリテイ管理上の基本対策であり、適切、4)従業者の故意または過失による事故の経緯がわかるため、適切である。
40,4,PKIは、公開鍵とその持ち主の対応関係を、認証局を用いることで保証するための技術であり、通信における本人認証に用いる。HPKIとは保健医療福祉分野の公開鍵基盤 (HealthcarePublic Kcy lnfrastructure)の略 称であり、HPKI証明書は、IS017090で定義された電子証明書である。厚生労働省がIS017090に準拠した「保健医療福祉分野 PKI認証局証明書ポリシ」を取りまとめており、保健医療福祉分野の国家資格と院長などの管理者資格を認証することができる。また、電子処方箋の発 行では「電子処方せんの運用ガイドライン」(厚生労働省)において、「医療情報システムの安全管理に関するガイドライン」(厚生労働省)に基づき、HPKIの電子署名とタイムスタンプを行うこととされている。4)国家資格と管理 者 資格を認証するものであり、医事課 職員の証明に用いることはできない。1)～ 3)、 5)は正しい。
41,2,2)バックアップデータを管理することは重要なことではあるが、医師個人に管理させることは情報保護の観点から問題があり不適切である。バックアップデータの管理は組織として行うべきである。1)、 3)～5)は病 院における災害に対する備えとして適切な内容である。
42,4,災害発生時の診療に必要 なことは、患者の診療 内容 を把握 して、診療 を継続す る ことである。4)災 害発生時 には予約診療 その ものが不可能になることも多 く、 また予約外で診療が必要 となる可能性 もあるので、再診予約 日時情報の優先度は低 い。1)～ 3)、 5)は 診療 の継 続 に必要 な項 目である。特 に、1)処 方歴 は薬剤 を紛失 した場合 に直ちに再処方す るために重要である。
43,3.4,システム運用管理規程とは病院情報システムの安全かつ合理的な運用を図り、診療録 ・診療諸記録の電子媒体による運用の適正な管理を図るために必要な事項を定めるものである。3)システムを実運用するための規程であって、実装技術を記載するためものではない。4)利用者のみに適用するものではなくシステム管理部門も適用の対象である。1)最高意思決定機関で承認を得るべきである。2)規程を遵守させるために罰則があることが望ましい。5)ガイドラインに準拠すべきである。
44,4,退職した人がシステムを利用できないようにする必要があり、4)ログイン権限を速やかに停止することは正しい。しかし、退職した人がこれまで記録してきた内容は後に誰が記載したかが明確に示すことができるようにする必要があり、誰が記録したかがわからないようでは問題がある。したがって、1)アカウントを削除、2)ユーザー名を変更、3)ユーザー IDを変更することは適切ではない。5)残務処理は退職前に行うべきことであり、退職後数日間対応を行わないのは原則として適切ではない。
45,4,4)UPS本体に問題があればバッテリ交換前から現象が出ていた可能性が高い。また、バッテリの不良、交換時の不適切な作業により影響を生じる可能性があるが、他の選択肢と比較して可能性が高いとは言い難い。1)電子レンジは強力な電磁波を用いるのでノイズ発生源になりうる。2)5)無線を用いる機器の増設は輻榛を生じる可能性がある。3)LED電 球は点灯のために整流と電圧変換を行っており、機器の不適切な設計、劣化などにより電波障害の原因となりうる。
46,3,病院情報システムに障害が発生した際、最も優先すべきなのはできるだけ通常の業務に支障をきたさないようにすることである。3)原因の究明は重要ではあるが、全面的な停止は業務に支障をきたす。稼働できる範囲で部分的でも運用を行うべきである。1)再発の防止策は重要である。2)早期に障害範囲を把握することは重要であるの4)対応策を考えることは適切である。5)代替運用によって業務への影響を少なくするべきである。
47,1.4,医療情報システムの安全管理に関するガイドラインでは、障害を「①サイバー攻撃によるIT障害」「②非意図的要因によるIT障害」「③災害によるIT障害」に分けているが、運用障害とは、②のうちシステム運用上の瑕疵に起因する障害を指している。1)はマスター設定上、4)は操作ミスにおけるユーザー側の瑕疵に起因する障害である。2)、 3)、 5)は、ベンダー側の瑕疵もしくは偶発的な理由に起因する障害であり、運用障害とはいえない。
48,1,医療情報システムは複数のシステムが連携して稼働するものであるから、1つのシステムでプログラムやマスターなどの設定を変更すると、他のシステムに影響を及ぼすことも多い。よって作業対象システムのみの動作検証では不十分であり、運動する他のシステムにも影響が生じていないか検証すべきであるため、1)は不適切である。2)～5)はいずれも情報担当者が行うこととして適切である。
49,1.2,1)院内の要望にすべて対応すると、全体最適を損なうことがある。システムの導入目的を踏まえ、予算や納期なども考慮し要望を整理することが必要である。2)システムの入れ替えは、そのシステムを利用し患者に対して医療を提供する立場にあるユーザーが責任を持つべきである。よって責任分界点を明確にして業務を委譲することは差し支えないが、すべてをベンダーにまかせるのは適切でない。3)リリース時には、医療サービスに支障がないことを確認する観点から、現場の責任者が立ち会うことが望ましい。この際、現場の責任者からの仕様外の改修要求には応える必要はない。4)テスト結果が仕様書を満たすものであるか、必ずしもユーザーとベンダーの間で同じ認識になるとは限らない。そのため報告書の確認は必須である。5)院内では多様な要望があがり、そのすべてを実現することは困難であるため、要望の承認プロセスには透明性が重要である。
50,1.4,1)安易にサーバーを再起動すると、障害の原因が特定できず復旧が遅延することもあり、更に連動する他のシステムにも障害を引き起こすことがある。再起動が有効な場合は多いが、障害直後に行うのは不 適切である。4)障害の範囲や復旧までの時間を考慮して、やむを得ない場合には帳票対応が望ましい場合もある。しかし、帳票対応には事後のデータ入力や他システムとの運動など課題も多いので、障害直後に安易に行うべき対応ではない。2)、 3)、 5)は障害発生直後に行うべき対応として適切である。
51,3.5,端末の反応が遅くなった場合の対応として、ソフトウェア、ハードウェア、ネットワークのいずれに原因があるのかを把握することが重要である。3)ネットワーク機器の故障や配線の手違いなどが原因である場合は、ネットワークの経路を変更する方法で確認できる。5)ネットワークが原因である場合は、サーバーヘの通信を要する電子カルテ以外のアプリケーションも正常に動作しない。よってネットワークが原因であることの切り分けに有効である。1)、 2)、 4)は反応が遅くなった端末固有のハードウェアもしくはソフトウェアの不具合を確認するためには有効だが、ネットワークに不具合があっても確認できない。
52,2,医療情報システムの安全管理に関するガイドラインでは、システム監査は、「仕様や運用方法が当初の方針のとおりに機能しているかどうか」の説明責任や、定期的に見直しを行い必要に応じて改善するという責任を果たす一環として行うものとしている。2)外部からの評価を上げることは一義的な目的とはならない。1)、 4)、 5)は改善を行う責任、3)は説明責任につながる。
53,5,GSl-128は、商品コード、個体識別番号、有効期限、包装単位などを表現できる汎用性の高いコードである。医療用医薬品やカテーテルなどの医療材料に限らず、医療以外の分野でも使用されている。
54,2,2)ICNP(International ClassificatiOn Of Nursing Practice)は、『看護実践国際分類』のことであり、国際看護師協会(ICN)が、既存の看護用語を収集し、概念により分類した用語集のことである。1)、 3)～ 5)の組み合わせは正しい。
55,3,HOTコードは、1処方用 (7桁)+会社判別用(2桁)+調剤用 (2桁)+物流用 (2桁)|で構成される13桁の数字列である。それぞれの要素によって、医薬品目の販売会社、包装形態・包装単位(数)、包装総量 (数)を表現している。各要素の数字列は単なる整理番号であり、再利用されないルールが定められている。3)使用中止されるまでのコードとしての履歴があり、再利用すると同じコードで2つの医薬品名を持つことになってしまうため、再利用しないルールが定められている。1)、 2)、 4)、 5)はHOTコードの正しい説明である。
56,3,JLAC10は、日本臨床検査医学会が制定した臨床検査の標準コードで、5つの要素 (分析物、識別、材料、測定法、結果識別コード)を連ねた最長 17桁の英数字列である。検査依頼時には結果識別を除いた4要 素による15桁コードで、結果報告時には5要 素による17桁コードで運用されることを想定している。3)レセプトに使用する際は、臨床検査マスターによりJLAC10コードを請求用のコードと対応づける必要がある。
57,4,4)は誤りである。データベースは使用しない。1)は正しい。HL7 v2.5で記載できるものは、そのテキスト形式でフォルダに保存されるが、それ以外の文書、画像は拡張ストレージとして別のフォルダに保存される。2)、 3)は正しい。HL7 v2.5で記載できるものは標準化ストレージのフォルダに保存される。5)は正しい。
58,4,4)Viewerアプリケー ションについては、医療機関のものを使うこともあり、CD―Rに同梱したり、 自動的に起動させる機能は必要としない。Viewerアプリケーションに対して、 コンピュータウイルスなどの感染リスクを回避するために、病院情報端末の自動起動設定を無効にしておく必要がある。1)～3)、5)は正しい。
59,5,5)はオプトアウト型の同意でよいとされている。1)～ 4)は次世代医療基盤法に記載されており正しい。
60,4,4)使用した医師が正しい。通知では、診断、治療などを行う主体は医師であること、医師はその最終的な判断の責任を負うこと、 当該診療は医師法第17条の医業として行われるものであることが明確化され、周知された。1)～ 3)、5)の 各 関係者には最終的な責任は負わされておらず該当しない。
