2023II,問題文,選択肢,,,,
1,第二次予防にあたるのはどれか。番号を解答記入欄( 1 )にマークしなさい。,健康増進,事故予防,疾病予防,早期発見,リハビリテーション
2,住まい・医療・介護・予防・生活支援が一体的に提供される仕組みはどれか。番号を解答記入欄( 2 )にマークしなさい。,地域連携パス,地域包括ケアシステム,オンライン資格確認システム,ヘルスケアデリバリシステム,PHR(Personal Health Record)
3,医療ならびに医学研究における倫理について正しい組み合わせはどれか。番号を解答記入欄( 3 )に2つマークしなさい。,リスボン宣言 ― パターナリズム,ヘルシンキ宣言 ― 患者参画医療,リビングウィル ― DNAR(do not attempt resuscitation),インフォームドコンセント ― 個人情報保護,GCP(Good Clinical Practice) ― 薬剤治験
4,インフォームドコンセントに基づいた医療について正しいのはどれか。番号を解答記入欄( 4 )にマークしなさい。,患者本人にのみ決定権がある。,患者の家族には病状を伝えない。,患者や家族が説明内容を理解する。,専門家による医学的検討は不要である。,合意・決定した後の治療方針の変更は避ける。
5,国民健康保険に加入している50歳本人の自己負担割合はどれか。番号を解答記入欄( 5 )にマークしなさい。,0割,1割,2割,3割,10割
6,日本の医療・福祉制度について正しいのはどれか。番号を解答記入欄( 6 )にマークしなさい。,介護保険料は65歳から徴収される。,国民健康保険は国が直轄管理している。,後期高齢者医療は70歳から適用される。,診療報酬請求は約50%が電子レセプトで行われている。,保険者は特定健診を40~74歳の被保険者に実施する義務がある。
7,保健資格確認に使用できるのはどれか。番号を解答記入欄( 7 )にマークしなさい。,診察券,運転免許証,HPKIカード,住民基本台帳カード,マイナンバーカード
8,歯科の診療報酬請求について正しいのはどれか。番号を解答記入欄( 8 )にマークしなさい。,入院・入院外の区別がある。,社保・国保を隔月で交互に行う。,未コード化傷病名の問題は生じない。,整合性チェックは医科に比べ容易である。,電子レセプトの請求方法は電子媒体よりオンラインが多い。
9,保健医療機関での「療養の給付」に含まれるのはどれか。番号を解答記入欄( 9 )に2つマークしなさい。,診察,画像診断,健康診断,自然分娩,疲労回復のための入院
10,健康保険法等に基づき作成された指導大綱による、医療機関に対する指導・監査はどれか。番号を解答記入欄( 10 )に2つマークしなさい。,会計監査,集団指導,特定共同指導,病院機能評価,保健所立入検査
11,介護保険制度に基づく要介護状態区分について正しいのはどれか。番号を解答記入欄( 11 )にマークしなさい。,1）,2）,3）,4）,5）
12,嚥下訓練を主に担当する職種はどれか。番号を解答記入欄( 12 )にマークしなさい。,管理栄養士,言語聴覚士,作業療法士歯科衛生士,理学療法士,
13,2020年における日本の死因別死亡数でもっとも多いのはどれか。番号を解答記入欄( 13 )にマークしなさい。,肺炎,心疾患,悪性新生物,脳血管疾患,不慮の事故
14,削除,,,,,
15,診療情報管理業務はどれか。番号を解答記入欄( 15 )にマークしなさい。,医療品購買,経営計画策定,診療情報監査,診療報酬請求,診療録の修正
16,インシデントレポートについて正しいのはどれか。番号を解答記入欄( 16 )に2つマークしなさい。,紙媒体による報告が必要である。,当事者以外から報告してもよい。,匿名での報告も認められている。,法令で書式が詳細に決められている。,有害事象が発生したときにのみ報告する。
17,SHELモデルの「S」にあたるのはどれか。番号を解答記入欄( 17 )にマークしなさい。,医療機器,教育方法,作業環境,自分自身,上司や同僚
18,医療面接（問診）で取得する項目とその説明の組み合わせで適切なのはどれか。番号を解答記入欄( 18 )にマークしなさい。,主訴 ― 収縮期の心雑音,家族歴 ― 20年前に結婚。妻、息子の2人との4人暮らし。,既往歴 ― 母親が高血圧で薬物療法中である。,現病歴 ― 狭心症の疑いで他院から当院へ紹介された。,生活歴 ― 過去に2回、中足骨の骨折歴あり。
19,クリニカルパスにおいてアウトカムの判断基準を示すのはどれか。番号を解答記入欄( 19 )にマークしなさい。,バリアンス,アセスメント,アルゴリズム,アウトカムマネジメント,クリティカル・インディケーター
20,新生児を集中的に管理・治療する集中治療室の名称はどれか。番号を解答記入欄( 20 )にマークしなさい。,CCU,HCU,ICU,SCU,NICU
21,図は身体のさまざまな断面を示している。Aの名称はどれか。番号を解答記入欄( 21 )にマークしなさい。,横断面,冠状断面,矢状断面,前頭断面,前額断面
22,カテーテルによるアブレーション（焼灼）治療の対象となるのはどれか。番号を解答記入欄( 22 )にマークしなさい。,不整脈,弁膜症,心筋梗塞,拡張型心筋症,感染症心内膜炎
23,消化管に発生する疾患はどれか。番号を解答記入欄( 23 )にマークしなさい。,クローン病,バセドウ病,パニック病,メニエール病,ネフローゼ症候群
24,口腔領域の疾患について正しいのはどれか。番号を解答記入欄( 24 )にマークしなさい。,歯髄炎は可逆性である。,歯周疾患は糖尿病と関連がある。,周術期の口腔ケアは控えるべきである。,進行した歯周炎では歯牙組織の吸収が生じる。,歯周炎の進行は口腔内の好気性菌と関連している。
25,薬の主な排泄経路はどれか。番号を解答記入欄( 25 )にマークしなさい。,汗,尿,糞,呼気,唾液
26,処方するにあたり、医師免許に加え、他の免許が必要なのはどれか。番号を解答記入欄( 26 )にマークしなさい。,劇薬,毒薬,麻薬,向精神薬,抗悪性腫瘍薬
27,電子処方箋について正しいのはどれか。番号を解答記入欄( 27 )に2つマークしなさい。,全ての病院・薬局で利用できる。,マイナンバーカードがないと利用できない。,労災等医療保険対象外の処方薬も対象である。,重複投薬や飲み合わせをチェックすることができる。,これまで紙で発行していた処方箋を電子化したものである。
28,看護実践用語標準マスターに含まれるのはどれか。番号を解答記入欄( 28 )にマークしなさい。,看護観察,看護行為,看護診断,看護成果,看護必要度
29,看護必要度について正しいのはどれか。番号を解答記入欄( 29 )に2つマークしなさい。,翌日に予定されている業務が指標となる。,入院・外来の看護の必要量を推定している。,評価項目はA項目とB項目の2種類である。,レセプト電算コードを価値用下評価方法がある。,回復期リハビリテーション病棟では、日常生活機能評価表が用いられる。
30,スクリーニング検査のカットオフ値調整において重視されるのはどれか。番号を解答記入欄( 30 )に2つマークしなさい。,感度,特異度,陰性的中率,陽性的中率,陽性予測値
31,血液ガス検査で測定しないのはどれか。番号を解答記入欄( 31 )にマークしなさい。,1秒量,血液pH,酸素分圧,重炭酸濃度,炭酸ガス分圧
32,血液を検体とする検査が診断に有用な疾病はどれか。番号を解答記入欄( 32 )に2つマークしなさい。,胃がん,高血圧,糖尿病,脳出血,心筋梗塞
33,造影剤を使わずに血管撮影ができるのはどれか。番号を解答記入欄( 33 )にマークしなさい。,CT検査,MRI検査,負荷心電図検査,心臓カテーテル検査,脳血流シンチグラフィ検査
34,IVR(Interventional Radiology)で使用されない診断装置はどれか。番号を解答記入欄( 34 )にマークしなさい。,CT,MRI,PET,超音波,X線透視
35,上部消化管内視鏡検査の観察範囲に含まれるのはどれか。番号を解答記入欄( 35 )にマークしなさい。,回腸,空腸,結腸,盲腸,十二指腸
36,診療報酬点数表に定める処置分類と処置行為の組み合わせで正しいのはどれか。番号を解答記入欄( 36 )に2つマークしなさい。,一般処置 ― 吸引,眼科処置 ― 酸素吸入,救急処置 ― 胃洗浄,耳鼻科処置 ― 鼻腔栄養,皮膚科処置 ― 結膜異物除去
37,心身がリラックスした状態を一種の自己催眠法を用いて作り出そうとする精神専門療法はどれか。番号を解答記入欄( 37 )にマークしなさい。,支持療法,認知療法,森田療法,自律訓練法,精神分析療法
38,膜型人工肺により静脈から脱血した血液のガス交換を行い、送血することによって肺機能を代替するのはどれか。番号を解答記入欄( 38 )にマークしなさい。,ECMO,IABP,血液透析,血漿交換,人工呼吸器
39,法で定められている保存期間が最も短いのはどれか。番号を解答記入欄( 39 )にマークしなさい。,医師が作成した診療録,助産氏が作成した助産録,薬剤師が作成した調剤録,歯科衛生士が作成した業務記録,病院管理者が作成した病院日誌
40,問題指向型医療記録で経過記録をSOAP形式で記載する場合、A欄に記載するのはどれか。番号を解答記入欄( 40 )にマークしなさい。,血液生化学検査の結果,次回来院時の画像検査の予定,診察・検査から考えられた鑑別診断,来院時の患者の痛みのスケールの得点,患者から聴取した薬物アレルギーの有無
41,研修医の診療記録を指導医あるいは上級医が点検し、承認する行為を示す用語はどれか。番号を解答記入欄( 41 )にマークしなさい。,アウトカム,オプトイン,サインアウト,ベンチマーク,カウンターサイン
42,ある検査の結果とある疾病の有無との関係を表に示す。この検査における特異度はどれか。番号を解答記入欄( 42 )にマークしなさい。,0.65,0.76,0.88,0.94,0.97
43,エビデンスレベルがもっとも低いのはどれか。番号を解答記入欄( 43 )にマークしなさい。,コホート研究,症例対照研究,専門家委員会報告,ランダム化比較試験,システマティックレビュー
44,臨床上の疑問を定式化するために用いられるPICO(PECO)の要素について正しいのはどれか。番号を解答記入欄( 44 )にマークしなさい。,P : Plan(計画),I : Intervention(介入),E : Environment(環境),C : Check(評価),O : Observation(観察)
45,次に示す演算ができないのはどれか。番号を解答記入欄( 45 )に2つマークしなさい。,順序変量同士の足し算,離散変量同士の足し算,連続変量同士の足し算,名義変量同士の足し算,順序変量同士の比較演算
46,統計・検定についての記述で誤っているのはどれか。番号を解答記入欄( 46 )にマークしなさい。,仮設時検定では一般にp値(有意確率)0.05未満をもって有意と判定する。,正規分布する標本では平均値±2×標準偏差内に全体の約70%が含まれる。,正規分布を想定した集団の平均値を比較するためにはt検定が用いられる。,測定値のなかに外れ値が存在する場合、代表乳は平均値より中央値がふさわしい。,感度0.8、特異度0.9の検査方法は、感度0.5、特異度0.4の検査法より優れている。
47,次の箱ひげ図の矢印があらわす統計量はどれか。番号を解答記入欄( 47 )にマークしなさい。,最大値,最頻値,中央値,平均値,第１四分位
48,DPC調査データの各様式とそれに含まれるデータ内容の組み合わせで正しいのはどれか。番号を解答記入欄( 48 )にマークしなさい。,様式１ ― 施設情報,様式３ ― 退院サマリをイメージしたカルテ情報,Dファイル ― 医科点数表による出来高レセプト情報,EFファイル ― 診断群分類点数表による包括レセプト情報,
49,NDBに格納されているのはどれか。番号を解答記入欄( 49 )にマークしなさい。,自由診療情報,特定健康情報,要介護認定情報,臨床検査個人票,医療保険レセプト情報
50,保健医療情報分野のデータベースのうち顕名データベースはどれか。番号を解答記入欄( 50 )にマークしなさい。,NCD,MID-NET,DPCデータベース,介護保険総合データベース,全国がん登録データベース
